#{"t_start": 1648217872.9588268, "env_id": "multicomp/SumoHumans-v0"}
r,l,t,r0,r1
-1039.100283,54,2.1789,-11.794641,-1039.100283
-1069.535524,53,2.838562,71.097298,-1069.535524
-981.53,40,3.308204,123.326351,-981.53
-1125.466677,58,4.006106,-75.043518,-1125.466677
-1016.681384,40,4.521286,37.685625,-1016.681384
-1176.622056,62,5.28697,-53.533045,-1176.622056
-964.054362,46,5.829405,-4.178439,-964.054362
-975.045929,37,6.279125,97.28929,-975.045929
-937.482829,56,6.979994,-71.200887,-937.482829
-1039.465168,51,7.601022,-52.147455,-1039.465168
-977.180966,51,8.248392,-31.976102,-977.180966
-1029.091674,52,8.898846,-75.849129,-1029.091674
-1204.515576,73,9.913086,-168.83905,-1204.515576
-950.362097,39,10.42926,26.221433,-950.362097
-1208.044904,87,11.52199,765.521742,-1208.044904
-1017.029344,50,12.143075,27.505801,-1017.029344
-1112.699966,65,12.955277,950.289148,-1112.699966
-1151.523408,67,13.825677,-176.024258,-1151.523408
-1104.812017,54,14.479087,36.256345,-1104.812017
-983.097242,43,15.043086,43.810362,-983.097242
-1068.749466,53,15.795642,-61.251317,-1068.749466
-998.921086,39,16.274204,67.178642,-998.921086
-1100.940968,57,16.947687,-14.246011,-1100.940968
-1179.417573,62,17.71412,-41.665836,-1179.417573
-1031.969856,43,18.213,-41.778826,-1031.969856
-1149.12583,60,18.918905,-128.537357,-1149.12583
-1167.319734,73,19.798331,886.734538,-1167.319734
-1016.552149,44,20.320934,67.866772,-1016.552149
-1119.016781,56,20.991768,-135.932843,-1119.016781
-1118.788019,64,21.747486,936.706253,-1118.788019
-1047.269036,45,22.274872,-28.671261,-1047.269036
-1000.645997,40,22.772311,118.340057,-1000.645997
-1005.869828,47,23.365546,93.256276,-1005.869828
-1081.704587,59,24.139813,1.253395,-1081.704587
-965.819096,44,24.650598,-19.196739,-965.819096
-1074.932266,68,25.508672,-122.162212,-1074.932266
-1458.325814,112,26.927112,-492.961974,-1458.325814
-1104.932673,54,28.189747,-37.520871,-1104.932673
-1136.696006,60,29.019089,-122.686375,-1136.696006
-1153.616722,62,29.771713,-90.797031,-1153.616722
-1224.424421,79,30.724244,814.18564,-1224.424421
-1035.527123,53,31.396048,986.13216,-1035.527123
-1014.602665,45,31.939442,-21.371574,-1014.602665
-1002.352241,42,32.419651,-6.06008,-1002.352241
-1058.255134,42,32.92657,37.313312,-1058.255134
-1027.483661,48,33.4938,78.778419,-1027.483661
-990.611375,45,34.008935,0.14985,-990.611375
-954.210778,37,34.492691,74.600519,-954.210778
-972.152976,42,35.005889,-41.068559,-972.152976
-974.372924,38,35.497888,22.700923,-974.372924
-1212.306106,69,36.345706,-124.484506,-1212.306106
-1178.601046,68,37.22572,-210.226952,-1178.601046
-1093.011663,53,37.901168,-2.102607,-1093.011663
-1092.764757,60,38.651452,-93.013292,-1092.764757
-1046.58971,48,39.254103,40.081785,-1046.58971
-1250.065608,66,40.105318,33.886709,-1250.065608
-1081.040826,48,40.762941,-11.3235,-1081.040826
-1261.090673,62,41.496311,-130.610122,-1261.090673
-1131.03476,54,42.171725,22.863913,-1131.03476
-983.846402,34,42.598388,35.551265,-983.846402
-1333.133336,78,43.671584,-149.922416,-1333.133336
-1021.490419,50,44.336389,-159.13711,-1021.490419
-952.904692,52,44.943793,-70.478922,-952.904692
-966.818328,40,45.446953,118.582119,-966.818328
-994.676904,44,45.957412,10.004371,-994.676904
-1076.648889,58,46.743098,904.154876,-1076.648889
-1057.822965,48,47.428738,152.901011,-1057.822965
-980.057946,42,47.963615,30.042654,-980.057946
-1296.730715,92,49.093483,755.07966,-1296.730715
-1136.570209,57,49.795356,-78.399129,-1136.570209
-1340.780651,95,50.894576,678.499906,-1340.780651
-977.596088,44,51.468075,44.464996,-977.596088
-1224.680189,70,52.318128,-124.699708,-1224.680189
-1057.444265,44,52.842575,20.300482,-1057.444265
-1174.980371,67,54.051554,937.610425,-1174.980371
-1007.750602,52,54.721326,977.647978,-1007.750602
-983.309659,45,55.28518,1043.282148,-983.309659
-1068.118124,50,55.91388,35.735644,-1068.118124
-1138.21019,67,56.726135,-151.033804,-1138.21019
-1066.801406,47,57.316611,53.556019,-1066.801406
-995.456474,42,57.852306,14.735147,-995.456474
-986.018582,39,58.32861,57.77151,-986.018582
-1097.166693,54,59.000082,-80.828574,-1097.166693
-1200.91246,69,59.823281,-94.012638,-1200.91246
-1081.440242,56,60.512632,-61.595007,-1081.440242
-1039.346634,45,61.131719,8.927461,-1039.346634
-947.43005,38,61.599887,25.787409,-947.43005
-952.724053,47,62.169257,122.928006,-952.724053
-1056.388578,43,62.691325,-26.759612,-1056.388578
-1254.835691,71,63.607493,-255.801244,-1254.835691
-1076.219617,65,64.417253,879.015393,-1076.219617
-1061.55152,51,65.044883,60.148825,-1061.55152
-1099.893271,55,65.778171,28.815024,-1099.893271
-1060.765108,52,66.411111,4.226794,-1060.765108
-977.377201,47,67.038706,1180.192872,-977.377201
-998.068217,49,67.623627,27.708222,-998.068217
-1010.726383,46,68.234063,26.58337,-1010.726383
-1068.360923,51,68.863375,101.014529,-1068.360923
-1076.445898,53,69.580091,41.47766,-1076.445898
-1059.465857,43,70.103263,-52.579791,-1059.465857
-1029.434224,52,70.769999,953.737149,-1029.434224
-1077.119459,50,71.401908,47.95343,-1077.119459
-963.208264,45,71.943244,-24.266459,-963.208264
-1001.674078,42,72.462114,19.202562,-1001.674078
-1116.222214,58,73.171347,77.237835,-1116.222214
-940.564723,38,73.6505,37.032714,-940.564723
-1270.25797,72,74.527253,-197.20514,-1270.25797
-1095.741601,60,75.309602,-80.439208,-1095.741601
-996.2743,48,75.911934,-6.685536,-996.2743
-1136.351694,57,76.635463,-69.859366,-1136.351694
-1191.45308,70,77.548433,-98.399494,-1191.45308
-1010.436072,43,78.102334,3.934634,-1010.436072
-1055.775089,48,78.738593,7.657061,-1055.775089
-1342.241069,89,80.335289,-280.963308,-1342.241069
-1045.603189,47,80.902737,-32.186246,-1045.603189
-1463.585989,120,82.455792,579.515011,-1463.585989
-1130.732746,67,83.298514,-131.246479,-1130.732746
-1093.535972,52,83.935905,-29.983721,-1093.535972
-1016.592034,49,84.579284,-50.843606,-1016.592034
-1071.209312,56,85.285458,-63.706562,-1071.209312
-1038.047272,48,85.869012,-39.522437,-1038.047272
-1149.01291,52,86.500656,-77.720268,-1149.01291
-1084.16512,46,87.097146,54.413031,-1084.16512
-1295.744552,87,88.132318,-249.761323,-1295.744552
-1141.000211,61,88.971426,-64.269865,-1141.000211
-1163.027142,69,89.807357,912.233123,-1163.027142
-1038.586703,50,90.433901,35.667657,-1038.586703
-1045.315268,51,91.072464,28.364924,-1045.315268
-1091.553557,61,91.830811,938.123585,-1091.553557
-997.553708,45,92.369212,71.853261,-997.553708
-1005.983681,47,92.925705,68.888108,-1005.983681
-1040.678485,57,93.634747,-84.919025,-1040.678485
-1162.993149,58,94.395108,-39.833057,-1162.993149
-977.845858,40,94.900164,38.150043,-977.845858
-1029.21825,37,95.342001,76.249588,-1029.21825
-1035.597501,46,95.988617,65.290549,-1035.597501
-1024.518138,43,96.504326,129.596944,-1024.518138
-1215.760138,80,97.511922,-177.573362,-1215.760138
-1032.65048,45,98.080584,76.949937,-1032.65048
-1156.290607,68,98.885882,-144.524894,-1156.290607
-968.114193,43,99.405333,99.744253,-968.114193
-1037.130607,44,99.938759,123.796288,-1037.130607
-1007.605402,50,100.565979,-61.884711,-1007.605402
-1027.3144,54,101.212534,-26.277095,-1027.3144
-1037.804759,43,101.710903,114.578333,-1037.804759
-983.698808,38,102.195721,64.53694,-983.698808
-1135.98565,66,102.984936,878.861876,-1135.98565
-1076.722311,61,103.718668,901.333449,-1076.722311
-1064.856877,46,104.27218,30.305094,-1064.856877
-1131.812434,75,105.202196,-196.208172,-1131.812434
-1290.571901,79,106.634551,-216.886093,-1290.571901
-970.020067,39,107.096681,-7.506528,-970.020067
-1017.32694,49,107.663789,23.670078,-1017.32694
-1043.166239,48,108.222549,-32.789585,-1043.166239
-1183.999424,55,108.881785,-73.325895,-1183.999424
-1098.307358,57,109.562569,-135.794991,-1098.307358
-1023.057872,43,110.048918,70.648697,-1023.057872
-1669.522593,132,111.92367,415.487994,-1669.522593
-1052.046193,48,112.508917,-14.336606,-1052.046193
-1041.23757,52,113.169799,10.105147,-1041.23757
-1013.70782,44,113.725663,-6.38207,-1013.70782
-1097.276524,54,114.516615,-65.924238,-1097.276524
-1021.44758,46,115.090739,80.612454,-1021.44758
-991.454535,47,115.717502,71.524344,-991.454535
-1056.518882,56,116.47803,44.050861,-1056.518882
-1222.325727,71,117.448494,-5.281908,-1222.325727
-1154.954293,78,118.517902,805.12824,-1154.954293
-1240.561753,82,119.59803,855.912551,-1240.561753
-1202.533386,63,120.606032,-44.504965,-1202.533386
-952.987958,48,121.309704,966.852588,-952.987958
-952.266029,40,121.893175,54.915919,-952.266029
-1087.302605,55,122.71086,4.162751,-1087.302605
-1240.181126,74,123.811332,-243.055959,-1240.181126
-1146.127168,53,124.515948,-15.317939,-1146.127168
-1030.775572,52,125.161303,-7.321681,-1030.775572
-966.635706,42,125.740793,37.056566,-966.635706
-1104.425088,56,126.447711,17.954291,-1104.425088
-953.143924,37,126.974769,89.79725,-953.143924
-1269.575147,77,128.170223,-181.70811,-1269.575147
-967.811855,55,128.919211,88.712885,-967.811855
-1118.574713,54,129.583318,24.472699,-1118.574713
-1033.062318,46,130.14189,80.321447,-1033.062318
-989.886062,50,130.741208,-29.620501,-989.886062
-964.399107,38,131.171485,116.358644,-964.399107
-1155.514501,64,131.910576,-182.163454,-1155.514501
-1085.046906,51,132.583427,20.16216,-1085.046906
-1124.416644,60,133.871584,-127.637578,-1124.416644
-1266.701205,71,134.900383,-173.492866,-1266.701205
-999.044435,42,135.578087,1143.737371,-999.044435
-972.415719,41,136.181773,140.628428,-972.415719
-1161.809921,62,137.093134,-79.359009,-1161.809921
-1148.975984,52,137.859037,-83.014154,-1148.975984
-1146.566713,55,138.599492,-121.700845,-1146.566713
-1016.913056,53,139.340096,965.835258,-1016.913056
-1034.463607,55,140.025758,-44.265194,-1034.463607
-1071.999061,45,140.537891,127.285252,-1071.999061
-993.328471,48,141.17712,1171.668329,-993.328471
-989.25545,41,141.751401,20.256609,-989.25545
-1068.042726,54,142.493894,-59.329323,-1068.042726
-1044.714951,50,143.198006,93.736956,-1044.714951
-1352.703213,102,144.586792,752.537802,-1352.703213
-1080.505357,60,145.36417,-140.943728,-1080.505357
-1132.549631,62,146.196126,-97.820965,-1132.549631
-1053.699089,53,146.911099,-28.470762,-1053.699089
-1002.456216,37,147.397517,69.438937,-1002.456216
-1123.699845,56,148.078547,25.728431,-1123.699845
-982.139718,40,148.57608,16.475144,-982.139718
-1171.048049,57,149.246884,5.22627,-1171.048049
-954.090703,60,149.969233,-12.367342,-954.090703
-1073.120727,49,150.580173,27.48269,-1073.120727
-1058.428677,61,151.398695,-112.962838,-1058.428677
-1018.317416,47,151.99731,71.501285,-1018.317416
-1039.113108,41,152.511703,154.390595,-1039.113108
-1043.659448,44,153.114319,120.151468,-1043.659448
-1183.762194,57,154.07188,-7.540366,-1183.762194
-1046.881271,43,154.771687,98.137278,-1046.881271
-969.196683,37,155.326765,88.784958,-969.196683
-1042.506344,40,155.983135,98.063542,-1042.506344
-1085.163859,54,156.909185,35.65496,-1085.163859
-984.696255,42,157.632888,61.225033,-984.696255
-1032.189211,50,158.398401,981.92449,-1032.189211
-1189.852538,60,159.209076,-121.467283,-1189.852538
-1058.921813,47,159.981496,107.530429,-1058.921813
-1067.860163,45,160.697554,87.801999,-1067.860163
-1065.291342,50,161.415463,-1.271435,-1065.291342
-1038.794008,41,161.918977,-27.080739,-1038.794008
-1193.519106,64,163.085102,-29.166135,-1193.519106
-1006.443626,46,163.720304,105.624691,-1006.443626
-1082.319257,48,164.34224,24.857465,-1082.319257
-1191.678678,59,165.137477,-150.524243,-1191.678678
-1052.755291,45,165.724865,76.651295,-1052.755291
-1263.44492,82,166.728426,-284.230784,-1263.44492
-1107.525352,56,167.420704,11.727879,-1107.525352
-1052.590879,58,168.186395,26.117292,-1052.590879
-1149.682685,67,169.072071,-124.167507,-1149.682685
-1162.614624,63,169.89909,-5.024039,-1162.614624
-962.939957,56,170.610703,-45.07511,-962.939957
-960.516369,45,171.252842,-5.656826,-960.516369
-1126.021511,67,172.179586,-9.76394,-1126.021511
-1187.879913,56,172.829805,-5.014941,-1187.879913
-1002.918755,41,173.299164,87.855833,-1002.918755
-979.283879,50,173.918897,982.656393,-979.283879
-963.690785,43,174.50829,127.184163,-963.690785
-1171.135581,63,175.381862,-11.926875,-1171.135581
-1075.606589,50,176.045535,80.499983,-1075.606589
-1127.048443,64,176.814088,918.345096,-1127.048443
-1009.41179,44,177.30664,86.971174,-1009.41179
-1079.036576,48,177.881001,-39.606151,-1079.036576
-1036.961016,49,178.441723,41.045166,-1036.961016
-1143.266189,62,179.171382,-138.946251,-1143.266189
-930.1566,55,179.893305,-66.09442,-930.1566
-1067.598248,54,180.75045,-54.368141,-1067.598248
-1311.318493,81,182.250623,-152.171176,-1311.318493
-981.116455,43,182.951509,-1.325874,-981.116455
-1101.323199,63,184.087901,-149.75665,-1101.323199
-990.191767,49,184.762751,50.583489,-990.191767
-1131.863825,56,185.504957,-115.389649,-1131.863825
-999.069318,44,186.080595,32.418969,-999.069318
-1065.491637,49,186.706456,-26.492471,-1065.491637
-1081.012847,58,187.453326,-31.38978,-1081.012847
-1053.66178,52,188.182293,-27.549175,-1053.66178
-1189.278285,58,189.04297,-42.273346,-1189.278285
-1146.74543,57,189.89395,155.249448,-1146.74543
-1186.098848,75,191.748018,-275.593331,-1186.098848
-1033.771594,47,192.569644,6.729338,-1033.771594
