#{"t_start": 1648217872.964808, "env_id": "multicomp/SumoHumans-v0"}
r,l,t,r0,r1
-1036.574933,47,2.095449,56.310961,-1036.574933
-1038.278317,44,2.626643,11.448333,-1038.278317
-973.58113,43,3.145442,66.526085,-973.58113
-1193.940511,99,4.351996,648.730229,-1193.940511
-1115.458665,68,5.207363,-113.028054,-1115.458665
-1089.528666,49,5.780469,-58.966952,-1089.528666
-1022.623911,47,6.358759,53.681905,-1022.623911
-985.316531,38,6.847124,82.958983,-985.316531
-982.326839,40,7.326587,4.593865,-982.326839
-1023.570568,45,7.883461,-38.372038,-1023.570568
-1090.757526,51,8.522362,68.854674,-1090.757526
-1270.845851,68,9.458606,-138.89197,-1270.845851
-1056.885281,54,10.172489,-63.487533,-1056.885281
-1105.260291,56,10.894602,-33.077562,-1105.260291
-1093.028133,61,11.658486,890.843935,-1093.028133
-1028.572742,52,12.295261,-21.757391,-1028.572742
-1068.507415,57,13.027753,981.56254,-1068.507415
-941.187234,49,13.646837,-24.113909,-941.187234
-1025.151782,50,14.246921,1002.474551,-1025.151782
-1113.547778,51,14.913531,-59.721334,-1113.547778
-1009.655433,46,15.551603,1018.665371,-1009.655433
-1090.70235,50,16.202914,-37.538285,-1090.70235
-1177.795839,75,17.094528,-115.193958,-1177.795839
-1016.873778,47,17.684962,-68.253696,-1016.873778
-987.846624,47,18.230657,-4.729943,-987.846624
-1341.404925,87,19.253834,-183.268329,-1341.404925
-1070.516833,53,19.901597,-38.131154,-1070.516833
-1219.609597,67,20.695729,-69.289053,-1219.609597
-991.870404,40,21.163859,75.058919,-991.870404
-1063.652798,49,21.759749,-61.511129,-1063.652798
-959.681252,39,22.209213,68.076076,-959.681252
-1003.768208,47,22.792779,7.382884,-1003.768208
-1083.04598,48,23.397152,75.085677,-1083.04598
-1016.318254,43,23.96187,70.22118,-1016.318254
-1072.596875,46,24.506847,42.806651,-1072.596875
-996.631021,41,25.000359,32.245893,-996.631021
-1328.27793,95,26.223828,-312.617982,-1328.27793
-1159.765662,64,27.647781,990.905884,-1159.765662
-1153.397985,55,28.308909,-2.427891,-1153.397985
-1009.293436,39,28.859382,84.536336,-1009.293436
