#{"t_start": 1648334098.277875, "env_id": "multicomp/YouShallNotPassHumans-v0"}
r,l,t,r0,r1
-1418.469571,50,2.65978,1132.493918,-1418.469571
-1363.981115,66,3.350784,1186.303796,-1363.981115
-1202.860201,36,3.71881,1104.458,-1202.860201
-1368.401508,47,4.210375,1135.325045,-1368.401508
-1360.511586,59,4.799153,1161.60569,-1360.511586
-1211.849439,38,5.181389,1121.470782,-1211.849439
-1162.452374,46,5.640993,1119.409959,-1162.452374
-1361.264361,57,6.197645,1168.440879,-1361.264361
-1368.222591,56,6.724449,1158.603677,-1368.222591
-1176.414579,63,7.321091,1182.170572,-1176.414579
-1412.112557,50,7.796963,1120.413908,-1412.112557
-1475.263,58,8.372493,1161.561214,-1475.263
-1356.515585,47,8.821007,1129.704503,-1356.515585
-1293.132693,45,9.266284,1114.903897,-1293.132693
-1320.760648,59,9.857122,1161.435446,-1320.760648
-1390.018531,49,10.336902,1120.067113,-1390.018531
-1421.461371,56,10.900732,1145.77833,-1421.461371
-1354.970604,49,11.412041,1142.06534,-1354.970604
-1252.019441,44,11.87616,1131.45617,-1252.019441
-1792.53012,85,12.740293,1245.398835,-1792.53012
-1835.366993,91,13.724698,-10.724083,-1835.366993
-1162.84597,38,14.164283,1103.453562,-1162.84597
-1156.894314,34,14.553685,1088.626826,-1156.894314
-1702.614944,83,15.41071,-11.693525,-1702.614944
-1422.670749,55,16.001152,1143.559188,-1422.670749
-1420.937413,55,16.564286,1152.349757,-1420.937413
-1502.586802,73,17.307392,1227.172358,-1502.586802
-1405.32378,51,17.82264,1150.8254,-1405.32378
-1522.007964,73,18.581159,1197.4562,-1522.007964
-1162.041435,36,18.956822,1106.555198,-1162.041435
-1210.255971,50,19.439398,1158.065591,-1210.255971
-1455.526646,62,20.048876,1180.961564,-1455.526646
-1421.024478,55,20.640343,1154.554435,-1421.024478
-1335.837187,48,21.110543,1131.705625,-1335.837187
-1349.431798,47,21.583886,1145.478246,-1349.431798
-1586.477171,101,22.59339,54.717522,-1586.477171
-1634.180013,73,24.098474,1143.263119,-1634.180013
-1429.63884,55,24.676912,1159.277259,-1429.63884
-1748.629954,88,25.557659,1017.341626,-1748.629954
-1615.653505,78,26.352379,1161.264275,-1615.653505
-1264.004257,41,26.752167,1102.002572,-1264.004257
-1473.115981,61,27.379044,1161.214076,-1473.115981
-1356.651227,50,27.869326,1141.34103,-1356.651227
-1349.401317,51,28.394057,1134.378931,-1349.401317
-1654.87536,75,29.180259,1176.593643,-1654.87536
-1209.133589,46,29.748689,1132.404279,-1209.133589
-1564.941497,73,30.545838,1139.720111,-1564.941497
-1704.931988,77,31.475435,1151.198966,-1704.931988
-1315.342993,56,32.097439,1147.579323,-1315.342993
-1453.025281,66,32.773591,1204.984074,-1453.025281
-1458.373717,55,33.391482,1148.892869,-1458.373717
-1296.911517,43,33.861834,1117.935828,-1296.911517
-1393.713494,58,34.514347,1162.832803,-1393.713494
-1327.464048,54,35.105417,1130.160642,-1327.464048
-1310.103764,46,35.610569,1121.423637,-1310.103764
-1680.02074,71,36.387815,1190.927259,-1680.02074
-1436.058916,56,37.025087,1149.454438,-1436.058916
-1602.826661,66,37.763415,1112.271591,-1602.826661
-1254.03027,39,38.203783,1108.876481,-1254.03027
-1389.12523,53,38.804606,1149.478021,-1389.12523
-1563.900429,61,39.537006,1162.566337,-1563.900429
-1408.761151,59,40.228135,1164.366154,-1408.761151
-1527.563771,72,40.995529,1209.241022,-1527.563771
-1426.599362,56,41.643877,1143.918912,-1426.599362
-1358.381329,50,42.216244,1133.489852,-1358.381329
-1193.699293,36,42.550916,1099.044202,-1193.699293
-1551.855864,65,43.16336,1109.419926,-1551.855864
-1691.845435,86,44.01949,1148.202442,-1691.845435
-1614.782788,75,44.728723,1210.865575,-1614.782788
-1600.327824,76,45.449268,1185.816121,-1600.327824
-1317.610216,66,46.505532,1186.938226,-1317.610216
-1363.545678,54,47.002641,1137.699226,-1363.545678
-1456.713549,68,47.629337,1190.12579,-1456.713549
-1605.364208,75,48.337951,1221.455812,-1605.364208
-1470.610571,62,48.937122,1081.221486,-1470.610571
-1537.36784,72,49.621377,1188.23242,-1537.36784
-1184.248389,56,50.151745,1163.796891,-1184.248389
-1842.580477,101,51.106282,-85.473868,-1842.580477
-1454.891555,73,51.862184,1214.546142,-1454.891555
-1450.163572,51,52.351789,1120.0436,-1450.163572
-1347.697014,54,52.85399,1150.090054,-1347.697014
-1340.681224,49,53.306251,1107.926755,-1340.681224
-1414.168999,55,53.823867,1153.18212,-1414.168999
-1772.221177,80,54.593499,-67.288511,-1772.221177
-1446.69967,58,55.158773,1167.957948,-1446.69967
-1311.940023,61,55.746829,1190.554095,-1311.940023
-1446.069701,53,56.265655,1109.805748,-1446.069701
-1372.782573,47,56.698366,1130.422708,-1372.782573
-1332.502664,46,57.128124,1137.4916,-1332.502664
-1698.37734,77,57.841168,1011.335627,-1698.37734
-1174.097516,41,58.224305,1115.176262,-1174.097516
-1417.091423,59,58.793017,1159.313124,-1417.091423
-1558.693835,66,59.412784,1126.119056,-1558.693835
-1389.160286,48,59.851349,1139.107736,-1389.160286
-1556.478264,76,60.585392,1214.234659,-1556.478264
-1831.960436,99,61.522135,76.409007,-1831.960436
-1297.973271,42,61.924194,1112.594998,-1297.973271
-1857.420395,92,62.821933,860.080953,-1857.420395
-1340.062864,52,63.296513,1156.825238,-1340.062864
-1335.274848,51,63.760024,1138.871951,-1335.274848
-1514.601093,62,64.340981,1148.203106,-1514.601093
-1507.857513,64,64.935643,1183.94099,-1507.857513
-1200.64635,40,65.306466,1096.517393,-1200.64635
-1201.415862,44,66.134819,1111.905617,-1201.415862
-1495.976289,64,66.748712,1144.99878,-1495.976289
-1337.525211,47,67.19363,1139.409639,-1337.525211
-1322.97064,45,67.625581,1132.800571,-1322.97064
-1384.041158,58,68.166492,1157.647256,-1384.041158
-1347.732441,50,68.658854,1132.930522,-1347.732441
-1424.645896,55,69.170118,1158.954772,-1424.645896
-1530.760494,66,69.777763,1174.822713,-1530.760494
-1448.935604,57,70.30375,1157.524837,-1448.935604
-1319.502134,47,70.74057,1141.561306,-1319.502134
-2058.627926,106,71.796313,-123.746022,-2058.627926
-1259.495174,55,72.298509,1164.202815,-1259.495174
-1229.773971,35,72.620643,1085.048142,-1229.773971
-1361.788976,53,73.125391,1147.453577,-1361.788976
-1661.82816,84,73.902418,1055.357507,-1661.82816
-1541.63499,80,74.659718,1184.838745,-1541.63499
-1560.899643,70,75.312387,1196.400017,-1560.899643
-1473.918925,64,75.930777,1153.615606,-1473.918925
-1274.711149,52,76.454431,1153.007686,-1274.711149
-1463.341471,58,77.013052,1149.677318,-1463.341471
-1935.713563,110,78.080897,-46.1653,-1935.713563
-1191.878167,40,78.45619,1117.94994,-1191.878167
-1536.872545,61,79.014109,1188.182438,-1536.872545
-1254.655389,40,79.387349,1109.532237,-1254.655389
-1291.576361,38,79.740568,1102.836815,-1291.576361
-1336.119789,51,80.219234,1144.593217,-1336.119789
-1223.563991,34,80.531097,1098.641769,-1223.563991
-1409.198432,59,81.118953,1144.681351,-1409.198432
-1400.195519,53,81.619058,1135.746954,-1400.195519
-1223.890512,44,82.050735,1130.813839,-1223.890512
-1461.985304,54,82.579895,1145.02894,-1461.985304
-1377.765541,45,83.022686,1113.712233,-1377.765541
-1372.633537,53,83.540801,1162.683621,-1372.633537
-1401.107878,58,84.070072,1162.098751,-1401.107878
-1566.289906,71,84.73725,1172.265857,-1566.289906
-1404.713992,60,85.293066,1171.792447,-1404.713992
-1514.670527,62,86.297813,1083.683584,-1514.670527
-1350.669904,49,86.760397,1126.741471,-1350.669904
-1519.464403,63,87.376032,1171.082999,-1519.464403
-1573.353504,65,87.99898,1201.083304,-1573.353504
-1154.456529,64,88.622779,1177.621694,-1154.456529
-1321.046655,49,89.087061,1132.589434,-1321.046655
-1382.787854,59,89.651433,1130.407998,-1382.787854
-1740.287514,88,90.486048,1254.583007,-1740.287514
-1202.560229,40,90.860934,1117.586588,-1202.560229
-1495.604797,67,91.507675,1054.600071,-1495.604797
-1262.249791,38,91.938994,1094.770837,-1262.249791
-1521.376932,62,92.533814,1181.189053,-1521.376932
-1480.198683,57,93.088396,1153.721124,-1480.198683
-1386.97226,54,93.604806,1125.323081,-1386.97226
-1544.921666,70,94.267586,1194.879864,-1544.921666
-1405.210571,51,94.736597,1132.622631,-1405.210571
-1511.516736,61,95.306055,1151.381219,-1511.516736
-1564.360695,81,96.084756,1172.895491,-1564.360695
-1246.430855,57,96.605039,1176.729879,-1246.430855
-1529.314428,71,97.282031,1190.204716,-1529.314428
-1418.774501,49,97.728597,1139.060437,-1418.774501
-1242.323221,42,98.116421,1106.715325,-1242.323221
-1538.318971,67,98.743322,1185.949929,-1538.318971
-1550.692198,74,99.443492,1209.059077,-1550.692198
-1170.832296,43,99.844637,1126.106302,-1170.832296
-1502.486119,62,100.424685,1147.604432,-1502.486119
-1616.421549,75,101.123231,1215.182921,-1616.421549
-1299.029498,42,101.501414,1122.353908,-1299.029498
-1571.036273,72,102.17057,1023.66807,-1571.036273
-1465.202519,59,102.725379,1158.163002,-1465.202519
-1832.988678,91,103.571783,898.657137,-1832.988678
-1610.21741,73,104.248598,1187.383543,-1610.21741
-1678.895714,75,104.958098,1111.002789,-1678.895714
-1786.525128,84,106.845401,1225.660046,-1786.525128
-1481.936908,61,107.786355,1115.428608,-1481.936908
-1701.95315,86,109.176528,20.447588,-1701.95315
-1378.091673,52,110.006466,1139.121361,-1378.091673
-1292.606035,42,110.67615,1123.111131,-1292.606035
-1681.841296,89,112.099085,1084.140037,-1681.841296
-1429.524193,56,112.981632,1152.683656,-1429.524193
-1586.028906,74,114.128354,1161.377952,-1586.028906
-1283.180489,39,114.758499,1101.465537,-1283.180489
-1509.739858,61,115.75982,1101.687814,-1509.739858
-1268.276936,44,116.495398,1126.390904,-1268.276936
-1365.788089,55,117.346353,1150.814973,-1365.788089
-1565.490274,69,118.432776,1108.810722,-1565.490274
-1285.11881,47,119.177596,1130.84795,-1285.11881
-1597.53683,81,120.446067,1009.090883,-1597.53683
-1429.159843,58,121.342294,1147.92274,-1429.159843
