#{"t_start": 1648334098.3541405, "env_id": "multicomp/YouShallNotPassHumans-v0"}
r,l,t,r0,r1
-1366.806461,44,2.519819,1116.743543,-1366.806461
-1426.032252,59,3.137769,1167.614051,-1426.032252
-1731.009691,80,3.965311,1005.380195,-1731.009691
-1381.712246,47,4.446545,1113.714219,-1381.712246
-1306.26044,49,4.938278,1134.5909,-1306.26044
-1519.671125,66,5.59774,1183.068957,-1519.671125
-1493.426086,60,6.181242,1162.201875,-1493.426086
-1213.873724,43,6.579508,1123.217101,-1213.873724
-1412.128271,62,7.1652,1176.135104,-1412.128271
-1415.67206,55,7.67797,1156.432535,-1415.67206
-1338.504018,54,8.231153,1120.950841,-1338.504018
-1518.188055,66,8.862965,1194.791344,-1518.188055
-1214.754778,39,9.253769,1113.597099,-1214.754778
-1377.186149,48,9.731495,1117.732833,-1377.186149
-1178.08745,35,10.063106,1092.779365,-1178.08745
-1362.134781,55,10.621043,813.383714,-1362.134781
-1483.933789,58,11.216123,1166.954641,-1483.933789
-1925.058758,95,12.208284,14.105889,-1925.058758
-1323.588109,49,12.70554,1129.853978,-1323.588109
-1339.562547,49,13.221731,1131.619238,-1339.562547
-1279.422096,53,13.818573,1154.049112,-1279.422096
-1187.997458,40,14.29501,1116.250001,-1187.997458
-1228.667241,50,14.812457,1148.707812,-1228.667241
-1371.297352,51,15.345454,1136.82593,-1371.297352
-1319.138214,42,15.794858,1096.963353,-1319.138214
-1438.608704,67,16.488613,1196.594229,-1438.608704
-1403.81478,55,17.029377,1158.621416,-1403.81478
-1214.683037,46,17.503028,1140.963859,-1214.683037
-1905.914666,98,18.529345,1042.142834,-1905.914666
-1481.541525,64,19.168653,1185.859119,-1481.541525
-1275.984748,43,19.584477,1117.678666,-1275.984748
-1434.935308,57,20.176526,1150.928031,-1434.935308
-1558.070412,85,21.031227,1085.019789,-1558.070412
-1212.469343,39,21.431959,1088.370924,-1212.469343
-1822.511491,95,22.37358,1034.42175,-1822.511491
-1431.53221,55,23.69384,1142.658363,-1431.53221
-1493.667761,63,24.35112,1157.243844,-1493.667761
-1515.159623,61,24.97636,1163.145192,-1515.159623
-1306.129956,45,25.421488,1123.309977,-1306.129956
-1553.435145,66,26.107542,1203.334095,-1553.435145
-1212.413319,36,26.452837,1097.798866,-1212.413319
-1795.567672,94,27.408392,-146.313667,-1795.567672
-1644.851999,82,28.229666,1112.8612,-1644.851999
-1463.853684,54,28.793989,1130.098388,-1463.853684
-1263.975358,51,29.326859,1133.847336,-1263.975358
-1761.739737,85,30.3288,1180.052664,-1761.739737
-1264.836158,43,30.780035,1125.250444,-1264.836158
-1469.184645,65,31.5896,1170.169168,-1469.184645
-1464.475718,56,32.200625,1163.950443,-1464.475718
-1247.222832,51,32.733795,1117.245479,-1247.222832
-1271.804295,41,33.1631,1125.971251,-1271.804295
-1344.869582,45,33.683257,1117.034272,-1344.869582
-1625.372664,80,34.584393,1218.524144,-1625.372664
-1254.16018,42,35.040688,1101.618973,-1254.16018
-1636.471046,79,35.900976,1039.336376,-1636.471046
-1357.553093,61,36.58527,1155.568967,-1357.553093
-1304.355433,42,37.06564,1111.143199,-1304.355433
-1353.741062,51,37.633109,1133.019152,-1353.741062
-1356.312536,51,38.20726,1130.560443,-1356.312536
-1230.273736,35,38.597466,1100.950116,-1230.273736
-1734.901239,80,39.573426,974.093649,-1734.901239
-1307.022815,43,40.05887,1124.200289,-1307.022815
-1194.965424,43,40.525135,1123.713282,-1194.965424
-1295.221795,54,41.121482,1143.385516,-1295.221795
-1312.502159,40,41.584257,1110.094553,-1312.502159
-1410.677274,65,42.288369,1180.357842,-1410.677274
-1537.354021,68,42.92646,1180.936467,-1537.354021
-1280.562384,56,43.462341,1150.00931,-1280.562384
-1238.345437,40,43.874409,1108.840939,-1238.345437
-1229.738451,40,44.250825,1113.179361,-1229.738451
-1651.211479,76,44.973421,1197.487555,-1651.211479
-1563.357,68,46.046236,1197.215539,-1563.357
-1498.113459,55,46.567619,1143.012808,-1498.113459
-1558.256363,62,47.141762,1156.041014,-1558.256363
-1272.552759,52,47.622425,1159.819223,-1272.552759
-1271.15683,45,48.048586,1131.495295,-1271.15683
-1284.527168,44,48.47438,1112.271662,-1284.527168
-1809.28655,96,49.38758,97.017495,-1809.28655
-1384.399668,53,49.879649,1140.893454,-1384.399668
-1201.094363,37,50.230874,1104.662559,-1201.094363
-1315.625856,42,50.622409,1124.690915,-1315.625856
-1465.701681,60,51.2015,1173.00908,-1465.701681
-1252.542127,48,51.719849,1137.890345,-1252.542127
-1603.930221,76,52.44371,1065.862748,-1603.930221
-1434.285527,64,53.032542,1179.298737,-1434.285527
-1215.740059,50,53.504164,1140.042288,-1215.740059
-1328.820742,54,54.007926,1160.74043,-1328.820742
-1321.947051,49,54.484795,1129.537471,-1321.947051
-1237.743579,44,54.921075,1112.545229,-1237.743579
-1590.683237,73,55.616451,1205.643857,-1590.683237
-1467.910063,58,56.19138,1176.168144,-1467.910063
-1196.91151,42,56.575493,1129.486957,-1196.91151
-1330.191946,58,57.116877,1156.139797,-1330.191946
-1402.088447,52,57.594627,1104.232058,-1402.088447
-1353.012161,50,58.064965,1131.385496,-1353.012161
-1923.480942,110,59.10961,-173.961346,-1923.480942
-1863.335497,99,60.035243,1060.854957,-1863.335497
-1587.730706,72,60.717152,1215.901433,-1587.730706
-1455.908239,59,61.278741,1170.6728,-1455.908239
-1412.574976,52,61.778326,1147.903629,-1412.574976
-1232.590933,48,62.244226,1132.22544,-1232.590933
-1474.679329,63,62.855233,1139.15077,-1474.679329
-1269.003707,38,63.200208,1103.735468,-1269.003707
-1461.020273,60,63.747871,1161.98698,-1461.020273
-1434.740914,63,64.335899,1163.397366,-1434.740914
-1624.740961,71,65.002366,1194.987765,-1624.740961
-1197.779286,45,65.827237,1139.061183,-1197.779286
-1322.151436,44,66.250046,1127.198781,-1322.151436
-1448.161017,63,66.850077,1189.187042,-1448.161017
-1504.935941,61,67.427363,1185.574687,-1504.935941
-1387.187966,52,67.926296,1126.683665,-1387.187966
-1311.332386,51,68.411872,1140.51827,-1311.332386
-1536.519137,66,69.038737,1011.180129,-1536.519137
-1342.11212,53,69.523364,1137.24115,-1342.11212
-1569.490688,65,70.122982,1014.403863,-1569.490688
-1480.093906,79,70.857864,1218.887224,-1480.093906
-1530.735699,67,71.488599,1057.515601,-1530.735699
-1360.098856,49,72.005333,1120.051147,-1360.098856
-1402.901877,48,72.443162,1106.079164,-1402.901877
-1439.357828,54,72.952026,1142.959253,-1439.357828
-2010.458875,106,73.942258,-159.719205,-2010.458875
-1176.692566,42,74.340803,1122.969261,-1176.692566
-1245.024754,47,74.778477,1126.98743,-1245.024754
-1184.836328,43,75.177864,1137.231703,-1184.836328
-1947.173882,104,76.201083,-70.466108,-1947.173882
-1180.463358,47,76.660386,1146.117972,-1180.463358
-1186.639408,38,77.020242,1100.542467,-1186.639408
-1282.114726,51,77.524158,1138.765898,-1282.114726
-1503.053434,71,78.198986,1213.240224,-1503.053434
-1424.820327,54,78.70232,1155.027231,-1424.820327
-1278.29023,43,79.094141,1121.802086,-1278.29023
-1372.297465,59,79.644239,1168.441967,-1372.297465
-1333.142397,53,80.142014,1145.685439,-1333.142397
-1508.806821,61,80.718159,1119.250362,-1508.806821
-1238.192567,47,81.188495,1124.434633,-1238.192567
-1514.207051,56,81.711357,1152.182499,-1514.207051
-1280.54589,44,82.143533,1114.944742,-1280.54589
-1382.849429,55,82.683758,1174.034854,-1382.849429
-1476.06401,70,83.378655,1195.812751,-1476.06401
-1396.769487,55,83.886656,1136.957417,-1396.769487
-1506.963488,60,84.445598,1160.29676,-1506.963488
-1591.428605,68,85.062941,1163.828754,-1591.428605
-1209.972382,36,85.826605,1089.268234,-1209.972382
-1540.655821,59,86.389181,1149.630338,-1540.655821
-1245.4187,44,86.813282,1134.940659,-1245.4187
-1526.588396,69,87.476524,1108.056569,-1526.588396
-1259.718292,56,88.022969,1173.134795,-1259.718292
-1552.75149,67,88.669405,1184.986108,-1552.75149
-1356.917671,71,89.336446,1146.741452,-1356.917671
-1585.116182,69,89.999363,1180.227321,-1585.116182
-1341.218797,54,90.510794,1140.729634,-1341.218797
-1473.081239,60,91.080314,1147.032509,-1473.081239
-1382.393,58,91.647458,1164.436154,-1382.393
-1454.026314,55,92.230209,1136.383509,-1454.026314
-1484.003144,61,92.812687,1166.454206,-1484.003144
-1894.170266,103,93.813256,-138.448288,-1894.170266
-1553.048237,64,94.41615,1181.308836,-1553.048237
-1166.786437,38,94.760502,1106.66121,-1166.786437
-1678.73578,87,95.573268,1096.575159,-1678.73578
-1553.470997,66,96.210578,1202.308506,-1553.470997
-1829.268362,89,97.043575,-128.53937,-1829.268362
-1441.234455,65,97.640484,1173.250415,-1441.234455
-1415.73744,53,98.130664,1133.761673,-1415.73744
-1716.739795,84,98.929644,983.468985,-1716.739795
-1308.958463,47,99.36741,1130.005461,-1308.958463
-1589.907484,75,100.062524,1080.287667,-1589.907484
-1354.459139,46,100.496458,1117.814852,-1354.459139
-1502.575275,55,101.007717,1154.080015,-1502.575275
-1425.477384,64,101.592441,1196.230158,-1425.477384
-1601.71648,77,102.325467,1229.713883,-1601.71648
-1787.378262,87,103.124128,1001.155687,-1787.378262
-1377.045689,52,103.611214,1137.709512,-1377.045689
-1219.245593,45,104.027539,1124.706023,-1219.245593
-1409.536791,54,104.539301,1142.37733,-1409.536791
-1280.163281,49,105.092312,1141.456159,-1280.163281
-1515.022031,69,106.721145,1204.910399,-1515.022031
-1693.932336,91,108.157955,-216.171016,-1693.932336
-1625.021122,77,109.38618,1150.136396,-1625.021122
-1896.931538,97,110.930564,0.99754,-1896.931538
-1532.810386,64,111.953385,1079.714922,-1532.810386
-1406.451082,55,112.826886,1137.460796,-1406.451082
-1409.831855,58,113.734694,1164.683348,-1409.831855
-1164.292848,43,114.413652,1130.899663,-1164.292848
-1326.24436,53,115.244427,1138.353871,-1326.24436
-1366.687056,53,116.122374,1137.276901,-1366.687056
-1254.585994,44,116.846117,1105.224936,-1254.585994
-1494.105817,78,118.074279,1100.063114,-1494.105817
-1371.128157,54,118.91425,1146.532533,-1371.128157
-1240.895791,38,119.524843,1113.998143,-1240.895791
-1222.040804,38,120.112897,1110.148757,-1222.040804
-1348.636629,59,121.034184,1150.992114,-1348.636629
-1385.315262,46,121.747141,1105.915559,-1385.315262
-1565.747996,67,122.790876,1190.14341,-1565.747996
-1220.925638,54,123.638864,1132.929805,-1220.925638
-1290.453094,48,124.432152,1142.597429,-1290.453094
-1339.473137,47,125.160783,1115.726602,-1339.473137
-1262.03946,50,125.920303,1154.95451,-1262.03946
-1463.159674,65,126.954289,1196.278156,-1463.159674
-1604.907574,71,128.063369,1194.813616,-1604.907574
-1702.023651,78,129.283285,1222.602991,-1702.023651
-1889.018474,95,130.794154,874.411134,-1889.018474
-1569.048677,64,131.808611,1177.316857,-1569.048677
