#{"t_start": 1648164413.0747957, "env_id": "multicomp/YouShallNotPassHumans-v0"}
r,l,t,r0,r1
-1617.843381,156,2.320832,-1617.843381,1382.911271
-1657.876409,168,3.667195,-1657.876409,1359.862435
-1666.532588,156,4.911497,-1666.532588,1406.082799
-1681.082861,162,6.225623,-1681.082861,1389.290916
-1696.522425,174,7.586879,-1696.522425,1356.077017
-1688.131178,162,8.854633,-1688.131178,1390.456292
-1674.567141,150,10.006262,-1674.567141,1391.210428
-1735.901989,177,11.403681,-1735.901989,1376.022911
-1628.187924,144,12.659042,-1628.187924,1258.457152
-1662.583539,148,13.906125,-1662.583539,1394.93005
-1696.938777,165,15.229313,-1696.938777,1408.498457
-1654.815064,157,16.478465,-1654.815064,1383.529325
-1745.819888,185,18.590237,-1745.819888,1366.817544
-1572.929519,145,19.761558,-1572.929519,1385.202801
-1674.535256,151,20.932777,-1674.535256,1378.942327
-1525.980766,157,22.16209,-1525.980766,1379.409936
-1555.657433,141,23.338548,-1555.657433,1411.249369
-1790.810352,177,24.817413,-1790.810352,1319.361611
-1743.812511,168,26.144024,-1743.812511,1352.134575
-1742.497133,171,27.485797,-1742.497133,1362.587557
-1714.021459,159,28.757917,-1714.021459,1378.590109
-1609.345417,144,29.938787,-1609.345417,1393.185789
-1634.952104,154,31.235504,-1634.952104,1391.813421
-1651.027663,151,32.424546,-1651.027663,1394.571583
-1781.445615,185,33.863257,-1781.445615,1361.070274
-1627.495399,154,35.446215,-1627.495399,1402.759578
-1656.444496,153,36.684676,-1656.444496,1396.892265
-1701.078488,159,37.940338,-1701.078488,1382.600354
-1657.771317,153,39.248399,-1657.771317,1375.240552
-1511.228859,152,40.548538,-1511.228859,1375.225323
-1764.844557,166,41.971359,-1764.844557,1366.301583
-1767.351181,172,43.525489,-1767.351181,1333.952011
-1745.031336,159,44.895647,-1745.031336,1391.799077
-1646.374559,168,46.361391,-1646.374559,1377.248595
-1763.337698,166,47.751618,-1763.337698,1388.992004
-1749.00942,164,49.115312,-1749.00942,1410.988053
-1843.3528,184,50.58227,-1843.3528,1342.295933
-1639.026119,148,51.762748,-1639.026119,1391.465051
-1674.445865,155,53.448187,-1674.445865,1391.998313
-1735.595028,162,54.779321,-1735.595028,1370.776651
-1704.547645,168,56.168692,-1704.547645,1122.405913
-1606.195247,159,57.465972,-1606.195247,1344.905148
-1548.05118,147,58.656125,-1548.05118,1256.369103
-1683.430702,160,59.96521,-1683.430702,1364.228106
-1560.574537,149,61.190773,-1560.574537,1382.835393
-1555.152601,165,62.519357,-1555.152601,1375.830461
-1785.305475,171,63.892464,-1785.305475,1339.68198
-1743.380352,166,65.264815,-1743.380352,1353.421526
-1915.693548,192,66.804129,-1915.693548,1334.805992
-1788.995432,169,68.132884,-1788.995432,1345.495444
-1743.860386,163,69.889011,-1743.860386,1376.659231
-1673.807442,160,71.21785,-1673.807442,1358.237611
-1636.411807,156,72.517832,-1636.411807,1361.064366
-1671.676677,159,73.791106,-1671.676677,1397.30329
-1758.421605,169,75.169089,-1758.421605,1357.39559
-1632.844676,149,76.40469,-1632.844676,1363.598568
-1820.934581,173,77.827252,-1820.934581,1386.063297
-1711.147506,153,79.065149,-1711.147506,1400.502409
-1708.235893,165,80.382175,-1708.235893,1374.038046
-1613.711391,161,81.698848,-1613.711391,1396.78056
