#{"t_start": 1648353258.2547626, "env_id": "multicomp/SumoAnts-v0"}
r,l,t,r0,r1
-785.005004,75,2.17906,1305.467272,-785.005004
-139.437728,260,4.368087,1985.999734,-139.437728
48.956201,351,7.392239,2400.549225,48.956201
-73.967357,321,10.050332,2093.437137,-73.967357
-612.374234,119,11.042407,1476.922586,-612.374234
94.399531,406,14.635332,2608.727505,94.399531
-615.175126,203,16.330364,720.690573,-615.175126
-814.329012,58,16.915334,1231.547984,-814.329012
-217.694586,276,19.79885,1982.921166,-217.694586
1116.27126,42,20.180964,-835.18524,1116.27126
-307.754576,253,22.294137,1928.851056,-307.754576
-74.588926,364,25.361067,1388.232044,-74.588926
-361.304432,296,27.824646,1992.429908,-361.304432
-504.694764,164,29.25574,1684.707871,-504.694764
-842.944455,45,29.675806,1183.453969,-842.944455
-336.130502,190,31.232423,1794.606425,-336.130502
-666.953138,152,32.459745,467.036957,-666.953138
-709.98415,138,33.5622,464.77405,-709.98415
-231.623382,332,36.188267,2024.753256,-231.623382
-153.823626,373,39.484971,2315.708525,-153.823626
-631.225137,117,40.438362,476.272119,-631.225137
-574.140944,147,41.645742,1495.588416,-574.140944
-711.585481,112,42.53358,1503.044426,-711.585481
-428.733507,190,44.077598,1799.340649,-428.733507
-723.484455,129,45.121872,340.880952,-723.484455
-652.096779,206,46.747295,569.191788,-652.096779
-193.176615,241,48.720974,1943.033707,-193.176615
-599.024991,166,50.074862,623.59303,-599.024991
-47.247146,439,53.878918,2308.827263,-47.247146
208.069023,480,57.739265,2593.579613,208.069023
-578.004526,133,58.808038,1517.942087,-578.004526
-9.651151,366,61.777129,1549.517018,-9.651151
-633.225867,131,62.793537,1459.542554,-633.225867
-449.577112,263,64.897073,1045.962472,-449.577112
-777.332588,72,65.477298,1292.066358,-777.332588
-882.840791,88,66.186629,269.572537,-882.840791
-609.476878,135,67.256137,565.587513,-609.476878
-112.190516,285,69.557838,2125.035751,-112.190516
178.840098,382,72.835713,2485.025998,178.840098
-60.90625,301,75.267737,2188.293066,-60.90625
-544.758091,190,76.851259,1699.150241,-544.758091
-365.336303,225,78.710315,1992.065686,-365.336303
-725.487318,105,79.573691,417.309185,-725.487318
-307.776823,192,81.151015,1774.101864,-307.776823
-687.326828,130,82.201204,1494.515603,-687.326828
-354.716391,287,84.518866,966.721835,-354.716391
-854.676573,117,85.439908,515.098165,-854.676573
-550.618985,133,86.507491,386.210867,-550.618985
-212.662344,223,88.51221,1967.286149,-212.662344
-579.643487,131,89.532517,1519.694014,-579.643487
-495.124931,160,90.805263,1615.144625,-495.124931
-687.394223,111,91.670999,1466.637951,-687.394223
230.119251,500,95.707308,907.908528,230.119251
1200.51278,64,96.210649,-852.238405,1200.51278
1433.494924,230,98.039417,-345.841995,1433.494924
-662.031595,135,99.121382,1488.21245,-662.031595
1760.918748,201,100.738662,-445.941437,1760.918748
-830.651925,109,101.617569,303.444701,-830.651925
-427.707674,230,103.461677,1872.119313,-427.707674
-847.913225,49,104.093606,1147.480583,-847.913225
-554.99499,238,106.034917,934.108857,-554.99499
508.02838,500,110.04316,818.847999,508.02838
213.845006,390,113.19564,2268.833475,213.845006
-713.392114,179,114.604532,683.006217,-713.392114
-580.61922,248,116.659572,1835.569544,-580.61922
-557.567841,247,118.625926,940.125964,-557.567841
-842.396534,46,118.994374,1213.15067,-842.396534
-676.427103,92,119.715108,1317.950334,-676.427103
-478.45861,207,121.64108,826.784965,-478.45861
-363.537311,228,123.481776,1765.883573,-363.537311
-592.361985,152,124.699223,593.457249,-592.361985
-294.448372,309,127.196918,2030.694404,-294.448372
-66.645094,292,129.676702,1982.624532,-66.645094
-152.599309,285,132.019611,2195.681488,-152.599309
-780.22222,62,132.521454,1227.938293,-780.22222
-609.779043,159,133.817753,1536.787997,-609.779043
-35.726354,327,136.462773,2370.805677,-35.726354
-756.063113,98,137.261974,403.238561,-756.063113
-250.591185,225,139.357102,1870.644072,-250.591185
-640.589807,120,140.322164,483.52268,-640.589807
-306.789687,290,142.667677,1991.593948,-306.789687
-545.748321,144,143.838934,1623.430305,-545.748321
-484.565718,155,145.067274,1668.194834,-484.565718
-518.480973,164,146.385229,666.419498,-518.480973
-554.269285,182,147.831091,1657.657836,-554.269285
-866.156995,40,148.177222,1165.394211,-866.156995
-460.344206,287,150.488625,1971.482872,-460.344206
-732.091551,167,151.846366,514.808746,-732.091551
-372.332649,222,153.65715,1830.947503,-372.332649
-642.127199,119,154.825315,1487.537603,-642.127199
-363.97079,184,156.268875,1574.070437,-363.97079
-403.14899,201,157.887088,1877.179911,-403.14899
253.569317,360,160.74036,2468.74282,253.569317
-336.254463,280,162.976045,1942.447905,-336.254463
-642.46736,120,163.96193,1522.106474,-642.46736
-219.154243,233,165.879951,1913.609051,-219.154243
-541.020432,160,167.180806,1637.741362,-541.020432
-527.875298,189,168.708703,1763.373476,-527.875298
-660.981765,139,169.848442,532.436963,-660.981765
-319.423861,228,171.909234,1951.249591,-319.423861
-221.882015,351,174.690911,1996.509791,-221.882015
-896.708132,50,175.082619,146.563144,-896.708132
541.849683,500,179.193278,925.485584,541.849683
-634.675732,117,180.160796,1490.014385,-634.675732
-603.660049,165,181.519409,636.549015,-603.660049
1617.990399,210,183.236252,-263.56654,1617.990399
-591.227546,130,184.28231,1506.694857,-591.227546
-399.866429,220,186.096791,828.090741,-399.866429
-319.902482,306,188.775113,2059.609774,-319.902482
-620.54247,136,189.93839,1557.36291,-620.54247
-435.819794,231,191.800678,1688.082211,-435.819794
-615.174013,236,193.70593,915.22449,-615.174013
-188.8055,371,196.71775,2534.424471,-188.8055
404.421843,500,200.801533,817.220712,404.421843
-768.593072,110,201.703023,473.861387,-768.593072
-57.768622,257,203.823591,2045.065645,-57.768622
951.280921,500,208.187623,1139.78949,951.280921
-672.371659,174,209.607011,648.826083,-672.371659
-450.793459,156,210.868336,530.024984,-450.793459
-332.858242,180,212.308683,1707.04935,-332.858242
347.37706,403,215.574141,2611.86295,347.37706
-691.905804,116,216.518258,1409.461769,-691.905804
140.702313,430,220.019772,2441.914381,140.702313
251.40564,500,224.291616,643.470019,251.40564
-756.771825,80,224.919934,1320.193743,-756.771825
-716.716983,98,225.767154,1381.646415,-716.716983
-379.282123,205,227.407994,1841.26115,-379.282123
-358.541321,218,229.147584,1938.585068,-358.541321
-638.904435,147,230.309527,1461.369864,-638.904435
370.481177,409,233.688352,2531.848299,370.481177
-825.341819,52,234.125034,1207.902159,-825.341819
-522.577383,216,235.8688,1717.874341,-522.577383
-595.257226,225,237.656472,736.256689,-595.257226
-460.858956,253,239.986794,913.91999,-460.858956
-880.792514,102,240.850891,438.350561,-880.792514
-437.464344,223,242.653162,1862.737972,-437.464344
-648.282402,109,243.533372,1439.839302,-648.282402
-132.074073,377,246.538749,2350.884009,-132.074073
-6.811902,313,249.056839,2293.500925,-6.811902
-655.109282,111,249.977258,1434.094636,-655.109282
-623.971852,130,251.023839,1486.008253,-623.971852
-680.181356,156,252.268326,657.192441,-680.181356
-476.370577,150,253.480143,1495.031527,-476.370577
-15.620433,294,256.144059,2158.105047,-15.620433
-720.447349,100,256.972864,1335.977354,-720.447349
-251.771908,274,259.168038,2028.805147,-251.771908
-272.755702,262,261.276251,1888.540789,-272.755702
-748.580597,184,262.731452,566.236151,-748.580597
-662.642511,168,264.087012,528.071008,-662.642511
-267.816974,193,265.629163,1568.301911,-267.816974
-13.818951,299,268.048503,2210.276309,-13.818951
-710.670452,114,268.957445,1442.867032,-710.670452
-670.012948,135,270.044656,525.160954,-670.012948
-905.605634,61,270.557576,198.640571,-905.605634
-649.755279,107,271.496312,1457.345935,-649.755279
-195.308801,372,274.752477,2223.018229,-195.308801
-825.308618,93,275.5572,269.126144,-825.308618
-620.974873,199,277.182254,1657.608898,-620.974873
-89.729185,324,279.812092,2245.482097,-89.729185
-169.984066,263,281.907826,2081.063355,-169.984066
1888.404463,355,284.78308,177.801544,1888.404463
