#{"t_start": 1648505164.8253024, "env_id": "multicomp/KickAndDefend-v0"}
r,l,t,r0,r1
-1942.370186,113,3.562103,-1942.370186,1161.851351
-1467.260072,84,4.810752,-1467.260072,1138.038564
-5572.722085,489,12.295115,-5572.722085,1736.56079
-1750.052462,136,14.359859,-1750.052462,558.532839
-5749.300192,500,22.035059,-5749.300192,-78.131215
-4937.460681,454,28.892934,-4937.460681,-700.191418
-1703.561191,133,31.044506,-1703.561191,710.795377
-1952.441452,174,34.38037,-1952.441452,465.009655
-1844.549618,102,35.965905,-1844.549618,1195.922802
-2721.489851,228,39.430773,-2721.489851,844.488192
-4716.821362,500,47.124603,-4716.821362,158.646711
-1922.113069,141,49.266826,-1922.113069,506.951079
-3043.269777,245,52.969478,-3043.269777,94.764865
-5403.222638,463,59.979003,-5403.222638,1675.62457
-2778.966475,175,62.718456,-2778.966475,326.246337
-1717.062424,94,64.119001,-1717.062424,1027.26471
-1750.910797,130,66.500625,-1750.910797,1395.255128
-3561.209716,270,70.659978,-3561.209716,296.271988
-2315.466714,172,73.245526,-2315.466714,1257.716908
-2038.643269,125,75.103107,-2038.643269,649.182384
-1657.102095,109,76.690582,-1657.102095,976.61181
-2336.949278,152,78.969042,-2336.949278,471.851559
-1502.988754,89,80.293951,-1502.988754,811.758106
-2300.806769,128,82.231597,-2300.806769,640.716758
-1960.510789,126,84.082452,-1960.510789,578.819419
-2049.149021,144,86.247962,-2049.149021,439.963745
-1755.042058,108,87.823506,-1755.042058,679.800192
-2155.198178,156,90.168607,-2155.198178,831.069512
-1755.157039,104,91.700633,-1755.157039,702.442961
-1812.867891,145,93.908485,-1812.867891,935.378741
-1946.573817,139,95.943978,-1946.573817,637.787222
-2967.071255,215,99.637619,-2967.071255,936.613071
-4012.185538,318,104.292896,-4012.185538,195.601541
-1922.393635,130,106.254312,-1922.393635,504.264708
-2282.949924,196,109.15514,-2282.949924,437.262949
-1646.563224,95,110.529027,-1646.563224,668.626325
-2017.461458,137,112.513569,-2017.461458,926.868041
-2243.512453,232,116.00775,-2243.512453,1268.717105
-2946.251121,236,119.576299,-2946.251121,1057.88412
-2346.858605,184,122.307289,-2346.858605,448.914193
-1915.28884,161,124.869786,-1915.28884,567.519884
-2514.204395,256,129.360618,-2514.204395,281.209289
-1860.92563,127,131.960175,-1860.92563,582.616929
-1380.426589,138,134.381135,-1380.426589,-1520.763308
-5595.677579,500,142.426268,-5595.677579,2376.3885
-2445.085168,229,145.841547,-2445.085168,575.96011
-960.944759,13,146.03364,-960.944759,1556.029366
-1731.427354,110,147.694033,-1731.427354,724.818052
-2056.000751,140,149.744053,-2056.000751,564.690176
-1650.203592,128,151.640407,-1650.203592,726.46728
-2142.241184,148,153.841383,-2142.241184,753.767054
-1891.505816,137,155.848757,-1891.505816,669.161574
-2017.023266,131,157.913282,-2017.023266,524.186853
-2198.716929,169,161.020154,-2198.716929,968.749835
-5015.298295,500,168.635563,-5015.298295,765.478597
-3761.167986,340,173.75202,-3761.167986,870.100042
-3074.752,288,178.022912,-3074.752,9.202466
-2052.747737,123,179.916422,-2052.747737,546.492089
-1802.530893,130,181.872259,-1802.530893,776.076391
-2172.954733,167,184.380437,-2172.954733,479.734646
-1766.270901,95,185.802668,-1766.270901,1105.908615
-1855.400687,168,188.342517,-1855.400687,372.982749
-2134.800747,184,191.188091,-2134.800747,558.586329
-1832.604622,131,193.566265,-1832.604622,1033.351921
-1295.142557,60,194.449343,-1295.142557,945.69693
