#{"t_start": 1648505164.7822473, "env_id": "multicomp/KickAndDefend-v0"}
r,l,t,r0,r1
-4646.518774,423,8.303684,-4646.518774,-125.141043
-1746.544192,123,10.234362,-1746.544192,688.6673
-3307.477413,248,13.976212,-3307.477413,87.617605
-2505.320957,190,16.946973,-2505.320957,1195.113164
-6447.015126,500,24.545134,-6447.015126,40.627283
-3811.823974,343,29.715225,-3811.823974,464.054676
-2885.416239,250,34.332395,-2885.416239,135.155451
-1995.344435,131,36.357691,-1995.344435,932.303526
-3227.055618,260,40.302597,-3227.055618,726.227783
-3161.49728,309,45.084521,-3161.49728,1361.490176
-1990.310995,170,47.688418,-1990.310995,772.570427
-1951.14166,184,50.476942,-1951.14166,420.519366
-2921.067717,267,54.490309,-2921.067717,1104.62915
-2116.588932,122,56.338516,-2116.588932,1192.128586
-2883.480273,238,59.956712,-2883.480273,1054.106412
-1365.595301,60,60.85877,-1365.595301,849.899783
-1773.306007,135,63.007215,-1773.306007,501.604675
-1612.046186,141,65.114373,-1612.046186,1099.056009
-2524.468731,238,69.156484,-2524.468731,806.525279
-2362.192462,157,71.546568,-2362.192462,508.004796
-2899.721856,202,74.60905,-2899.721856,388.207846
-3578.458681,248,78.252327,-3578.458681,1430.390186
-1696.167584,102,79.779598,-1696.167584,740.324858
-2182.826138,193,82.696269,-2182.826138,388.015459
-2240.738316,152,84.929924,-2240.738316,466.146519
-2310.390568,154,87.229034,-2310.390568,715.847366
-1991.388832,146,89.39304,-1991.388832,440.472684
-3967.433853,432,95.837823,-3967.433853,576.604204
-2640.014692,230,99.762816,-2640.014692,498.105846
-2468.000161,169,102.232697,-2468.000161,982.476565
-2938.320068,243,105.827381,-2938.320068,244.095856
-3866.458819,424,112.058563,-3866.458819,455.603146
-1986.654816,197,114.959625,-1986.654816,963.770833
-1587.496664,107,116.615489,-1587.496664,807.477641
-5971.388353,500,124.165331,-5971.388353,1460.040594
-1799.028961,109,125.87838,-1799.028961,1079.362085
-1896.092024,129,128.369616,-1896.092024,916.729851
-1652.111378,120,130.600441,-1652.111378,745.235294
-4779.370144,500,139.208952,-4779.370144,961.895927
-1985.95061,126,141.210993,-1985.95061,563.769529
-4559.665296,500,148.728596,-4559.665296,2185.188931
-3668.40149,281,152.847494,-3668.40149,-107.483492
-5532.358575,500,160.974486,-5532.358575,2768.357984
