#{"t_start": 1648505161.4612284, "env_id": "multicomp/KickAndDefend-v0"}
r,l,t,r0,r1
-1445.781229,92,3.97965,-1445.781229,896.331593
-1707.270951,137,5.96993,-1707.270951,1225.511871
-977.833148,5,6.041906,-977.833148,1524.039861
-1759.246974,108,7.66371,-1759.246974,1053.073464
-4249.347284,359,13.0312,-4249.347284,1038.540452
-2828.42316,202,15.980897,-2828.42316,1124.781977
-1268.161168,75,17.08979,-1268.161168,920.316308
-2175.114486,184,19.871612,-2175.114486,759.107431
-2228.276096,154,22.200162,-2228.276096,1119.913184
-2590.766381,149,24.419337,-2590.766381,1159.188072
-2825.098229,225,27.807833,-2825.098229,627.05777
-4474.340332,500,35.984329,-4474.340332,2630.174109
-5765.945753,500,43.673802,-5765.945753,1551.817246
-2582.582995,215,46.910957,-2582.582995,1661.294915
-1776.967618,118,48.637244,-1776.967618,837.461971
-5825.79512,500,56.182149,-5825.79512,818.959423
-2838.363015,290,60.647684,-2838.363015,1905.823398
-2638.09224,232,64.09471,-2638.09224,1522.545511
-2546.492627,278,68.808041,-2546.492627,996.537499
-2263.010546,141,70.992743,-2263.010546,455.47201
-3779.275812,310,75.68387,-3779.275812,924.696113
-1902.338036,130,77.660348,-1902.338036,827.944327
-2611.400273,275,81.812149,-2611.400273,1996.91999
-3947.163289,398,87.841528,-3947.163289,2204.630218
-5271.692228,449,94.596109,-5271.692228,2193.755281
-3361.183118,260,98.887491,-3361.183118,1029.371424
-3952.449439,374,104.674999,-3952.449439,2038.503184
-1916.168294,148,106.925146,-1916.168294,948.550481
-2301.974886,202,110.015722,-2301.974886,1039.071854
-2232.891978,219,113.316073,-2232.891978,580.29329
-2592.731311,227,116.657509,-2592.731311,710.719607
-1503.436935,116,118.416902,-1503.436935,1250.097797
-1762.667535,127,120.344695,-1762.667535,1112.147348
-5935.334809,500,128.305278,-5935.334809,1773.427599
-2767.901295,255,132.439716,-2767.901295,875.597946
-5699.732687,500,141.159921,-5699.732687,-251.691738
-1665.413148,85,142.539766,-1665.413148,1088.017391
-1866.348392,105,144.211516,-1866.348392,1196.465204
-2934.026831,193,147.073385,-2934.026831,1402.728526
-2124.493861,172,149.65521,-2124.493861,948.78949
-2107.914872,174,152.27555,-2107.914872,1151.362998
-2464.133939,168,154.804169,-2464.133939,937.250337
-2716.876883,315,159.452394,-2716.876883,1054.106688
-2879.259009,202,162.911454,-2879.259009,511.768797
-1136.253755,41,163.542658,-1136.253755,1037.73824
-1524.24343,106,165.313058,-1524.24343,1141.227294
-2050.712804,176,168.114947,-2050.712804,1485.203885
-5247.910821,500,175.759134,-5247.910821,832.599147
-5358.508048,500,183.279129,-5358.508048,2134.378953
-2848.945496,212,186.382054,-2848.945496,1448.482808
-2048.835199,114,188.050261,-2048.835199,962.906639
-3566.831348,305,193.057812,-3566.831348,468.612287
-2962.286672,269,197.137607,-2962.286672,1282.8881
-2185.842788,145,199.292922,-2185.842788,1159.309822
-2451.431563,136,201.359051,-2451.431563,732.723761
-1702.770337,130,203.361357,-1702.770337,1394.475093
-1620.254973,149,205.649397,-1620.254973,1145.875432
-3851.101541,330,210.706403,-3851.101541,610.501193
-1885.1812,117,212.440149,-1885.1812,796.600749
-2024.496857,183,215.263568,-2024.496857,1147.69154
-4546.705087,500,222.984033,-4546.705087,1466.9865
-2496.963747,210,226.63555,-2496.963747,740.054881
-5173.479471,500,234.193233,-5173.479471,1770.325967
-2188.774521,146,236.469451,-2188.774521,1209.773811
-1966.294878,135,238.476044,-1966.294878,1241.906931
-3020.123868,252,242.280419,-3020.123868,948.485287
-1431.133639,94,243.656828,-1431.133639,1053.056061
-1887.23772,141,245.781993,-1887.23772,1320.324676
-2601.622401,222,249.156798,-2601.622401,1235.315183
-6021.218798,488,257.505146,-6021.218798,-877.246898
-2467.335987,213,261.95344,-2467.335987,1097.602766
-2544.40279,202,265.589669,-2544.40279,1348.307464
-4603.779546,500,274.247143,-4603.779546,2026.597638
-5590.143833,500,282.529503,-5590.143833,2449.878221
-1463.776153,85,283.898696,-1463.776153,800.331909
-5099.478288,500,292.26107,-5099.478288,1959.102497
-1765.937216,143,294.629263,-1765.937216,1177.14919
-1802.633972,132,296.714709,-1802.633972,1353.453587
-1775.29731,128,298.736861,-1775.29731,1184.917738
-3108.326524,304,303.499981,-3108.326524,1082.535641
-1511.203379,116,305.225156,-1511.203379,931.249629
-2734.49677,248,308.956296,-2734.49677,386.734697
-2066.156499,137,311.022406,-2066.156499,1492.524843
-1624.26287,91,312.364572,-1624.26287,1244.106371
-2704.294563,273,316.381636,-2704.294563,1440.368667
-1803.392974,118,318.17361,-1803.392974,1228.347521
-1685.686645,125,320.081726,-1685.686645,588.193779
-3229.349908,329,325.456083,-3229.349908,1180.229465
-4943.235825,500,332.80838,-4943.235825,758.47962
-2051.97661,111,334.441699,-2051.97661,591.358725
-995.814606,1,334.461483,-995.814606,1504.792152
-4000.339921,376,340.059057,-4000.339921,383.661102
-2313.897481,178,342.761721,-2313.897481,1411.879398
-2651.64926,212,345.946099,-2651.64926,722.892519
-3539.686139,290,350.333501,-3539.686139,257.461317
-2328.820307,125,352.220747,-2328.820307,1396.68895
-2160.569055,159,354.975391,-2160.569055,1402.44894
-4858.466882,500,362.571989,-4858.466882,3197.450158
-2659.360197,210,365.700512,-2659.360197,531.910531
-2620.700065,318,370.483838,-2620.700065,865.054879
-1665.978931,89,371.806973,-1665.978931,980.552049
-3136.349341,287,376.047388,-3136.349341,909.768203
-1461.991598,84,377.271567,-1461.991598,1203.82144
-1944.505553,134,379.277898,-1944.505553,520.983682
-2989.044176,243,382.913553,-2989.044176,619.522435
-2995.172405,286,387.593898,-2995.172405,835.255844
-2519.175141,219,390.927212,-2519.175141,1547.603186
-3861.955036,478,398.062407,-3861.955036,1944.998893
-2459.180234,192,400.915143,-2459.180234,1328.05652
-3599.498636,286,405.200795,-3599.498636,1312.033331
-4454.055653,374,410.736969,-4454.055653,2491.401239
-5962.636972,500,418.713704,-5962.636972,2956.884146
-3468.946924,331,423.767142,-3468.946924,1495.245352
-5498.78006,500,431.251033,-5498.78006,-140.596102
-3122.605738,254,435.045981,-3122.605738,273.641968
-2105.214264,158,437.428526,-2105.214264,1399.031778
-1551.927453,83,438.679745,-1551.927453,1160.263153
-4993.071414,500,446.077447,-4993.071414,3400.586897
-3725.018359,352,451.76901,-3725.018359,1570.658716
-2882.017648,254,455.588428,-2882.017648,1213.043584
-1360.074459,69,456.611654,-1360.074459,1056.223177
-4184.957907,436,463.182816,-4184.957907,130.555479
-2409.864028,175,465.828147,-2409.864028,720.097385
-2153.469679,196,468.790986,-2153.469679,1752.017891
-1373.524437,67,469.800426,-1373.524437,1003.33169
