#{"t_start": 1648505161.1422307, "env_id": "multicomp/KickAndDefend-v0"}
r,l,t,r0,r1
-2729.231955,211,6.011556,-2729.231955,1684.29147
-1723.147277,117,7.770548,-1723.147277,991.596972
-2789.695898,189,10.566335,-2789.695898,761.126261
-2853.567779,236,14.119602,-2853.567779,1028.439492
-1958.991269,108,15.679351,-1958.991269,989.641627
-2949.726436,250,19.415871,-2949.726436,1098.407848
-1527.321998,83,20.690887,-1527.321998,1056.675795
-3077.042581,249,24.407967,-3077.042581,1751.283105
-1442.526313,66,25.398402,-1442.526313,946.643711
-2158.008734,172,27.985995,-2158.008734,1602.85163
-1803.519831,151,30.271311,-1803.519831,762.502639
-2333.362644,222,34.25213,-2333.362644,1610.343333
-5492.355712,500,41.911139,-5492.355712,2106.57702
-2237.782812,159,44.326782,-2237.782812,743.95205
-1696.798972,101,45.842533,-1696.798972,1212.712118
-2518.529844,186,48.611513,-2518.529844,1157.249112
-1996.694567,189,51.452733,-1996.694567,1350.374099
-2906.60371,307,56.086924,-2906.60371,449.240748
-5019.712503,500,63.70806,-5019.712503,1325.552874
-2278.950253,149,66.348102,-2278.950253,562.133226
-2258.133411,130,68.332874,-2258.133411,718.04622
-5550.961738,397,74.440602,-5550.961738,-139.52837
-2570.36168,209,77.616158,-2570.36168,200.084286
-1432.391047,81,78.828068,-1432.391047,1002.85607
-4425.07928,440,85.490921,-4425.07928,117.567953
-2338.537422,145,87.685561,-2338.537422,561.318535
-2401.642569,187,90.538233,-2401.642569,1634.763812
-1824.148579,132,92.512436,-1824.148579,1114.426623
-2523.591802,274,96.589203,-2523.591802,1603.340668
-2857.477162,208,100.223512,-2857.477162,1386.768961
-5395.577834,500,107.862827,-5395.577834,2977.517512
-2129.7094,179,110.602133,-2129.7094,1439.160579
-1211.43914,64,111.579565,-1211.43914,1701.884207
-2121.731931,155,113.893052,-2121.731931,936.865649
-2124.874355,125,115.715056,-2124.874355,827.139519
-1951.7925,125,117.582738,-1951.7925,1174.637866
-2223.195187,155,119.954748,-2223.195187,709.812708
-2295.919061,192,122.838998,-2295.919061,1532.552749
-4829.405396,500,130.93145,-4829.405396,2990.677721
-1499.568914,70,132.082594,-1499.568914,969.229024
-1244.175721,61,133.099731,-1244.175721,955.786175
-1920.05851,112,135.358389,-1920.05851,905.240696
-3914.911868,383,141.723122,-3914.911868,1206.593033
-2894.038263,261,145.819598,-2894.038263,1771.91462
-2851.297045,338,150.858828,-2851.297045,1198.527766
-1220.288881,64,151.812324,-1220.288881,897.861179
-4903.506009,327,156.698906,-4903.506009,679.174961
-4516.135871,500,164.739548,-4516.135871,876.192385
-2627.049272,147,167.160006,-2627.049272,629.261137
-2202.319532,152,169.466071,-2202.319532,780.053658
-3619.328275,360,174.967795,-3619.328275,1020.16543
-2835.869789,301,179.480863,-2835.869789,969.046931
-1438.599288,79,180.692983,-1438.599288,976.824156
-2473.965839,235,184.245531,-2473.965839,1108.038669
-1836.51689,152,186.447132,-1836.51689,1378.873794
-3309.221776,284,190.656714,-3309.221776,535.968567
-3886.944621,276,195.187142,-3886.944621,984.251988
-4806.814644,354,200.570866,-4806.814644,352.882987
-2692.801835,183,203.366445,-2692.801835,1599.646008
-5533.516383,500,211.044992,-5533.516383,-493.454201
-2112.710702,150,213.259525,-2112.710702,1070.966278
-3269.647751,210,216.540549,-3269.647751,525.920572
-3421.2343,313,221.37083,-3421.2343,646.703507
-4824.763194,500,229.432331,-4824.763194,3298.260417
-2510.370746,246,233.14997,-2510.370746,1357.932504
-3720.411511,373,238.829618,-3720.411511,474.492307
-2653.397339,251,242.617964,-2653.397339,1308.597614
-2283.723635,215,245.805574,-2283.723635,1315.284901
-2140.671558,136,247.891633,-2140.671558,602.616888
-1395.950016,103,249.445518,-1395.950016,1291.04407
-4102.573326,479,257.63294,-4102.573326,1193.672665
-2659.852101,204,261.91643,-2659.852101,1472.335048
-2292.057463,169,264.947144,-2292.057463,1085.304911
-5449.252804,500,273.660064,-5449.252804,2138.102698
-1790.548145,102,275.406653,-1790.548145,1234.640996
-4359.513194,500,283.630988,-4359.513194,3184.603831
-5764.999219,500,291.997614,-5764.999219,2851.562519
-2832.506253,188,295.088882,-2832.506253,637.632623
-2228.584605,223,298.622736,-2228.584605,1270.673423
-2356.024595,193,301.650421,-2356.024595,1659.149193
-944.816717,18,301.936448,-944.816717,1580.177085
-5572.594394,500,309.50433,-5572.594394,-83.118823
-1668.075203,128,311.43926,-1668.075203,854.913633
-3650.284022,255,315.164214,-3650.284022,527.574454
-2066.497645,146,317.326429,-2066.497645,1389.457553
-3545.856841,316,322.128789,-3545.856841,454.3573
-2102.085796,125,324.416013,-2102.085796,1412.214614
-1528.093938,108,326.109612,-1528.093938,1253.649407
-3881.170333,306,330.55307,-3881.170333,-119.03597
-2740.728887,252,334.278014,-2740.728887,1077.207837
-2619.012222,170,336.793654,-2619.012222,1316.962886
-1966.213845,134,338.793339,-1966.213845,760.534132
-5308.302642,500,346.332554,-5308.302642,540.174428
-6031.104859,500,353.882602,-6031.104859,-320.257296
-2202.907162,150,356.493621,-2202.907162,1002.00817
-2536.372029,197,359.575986,-2536.372029,796.105364
-2017.59033,138,361.624516,-2017.59033,1339.48535
-2419.477195,186,364.398884,-2419.477195,717.396597
-2142.480737,147,366.583733,-2142.480737,1437.349711
-4009.002391,342,371.738629,-4009.002391,382.075307
-2290.457971,133,373.694121,-2290.457971,845.997703
-1061.709683,52,374.477372,-1061.709683,1573.080508
-1388.242194,90,375.809723,-1388.242194,835.902795
-3985.48125,338,380.783043,-3985.48125,690.073278
-2173.629048,176,383.439342,-2173.629048,1366.554276
-2558.033352,217,387.069897,-2558.033352,1772.250711
-2765.577347,239,390.73844,-2765.577347,691.820387
-2534.272805,201,393.724976,-2534.272805,1576.971317
-1490.427376,79,394.922887,-1490.427376,968.976
-2452.317878,206,397.988456,-2452.317878,927.670043
-2738.012522,171,400.508447,-2738.012522,1496.279917
-1975.21704,150,402.773512,-1975.21704,1498.247411
-2169.624863,218,406.037196,-2169.624863,890.962875
-2936.951484,274,410.081839,-2936.951484,735.573623
-5962.805068,500,418.04271,-5962.805068,196.283728
-2831.937789,318,422.92046,-2831.937789,1399.670282
-1685.223984,117,424.656125,-1685.223984,1344.410755
-5952.46457,476,431.771393,-5952.46457,-413.706104
-1265.635726,70,432.832451,-1265.635726,940.621761
-2733.868542,157,435.172797,-2733.868542,1106.553465
-1298.37504,63,436.133461,-1298.37504,986.93914
-950.383337,11,436.297135,-950.383337,1552.705178
-906.277361,30,436.751252,-906.277361,1634.047873
-4429.392759,500,444.143636,-4429.392759,3187.441847
-1648.522228,128,446.080427,-1648.522228,1215.157493
-5213.731275,500,453.989656,-5213.731275,2433.818876
-4867.438658,474,461.011836,-4867.438658,848.719541
-1912.5874,169,463.643461,-1912.5874,562.472501
-2233.110178,209,466.806706,-2233.110178,1663.332928
-4461.58441,500,474.296467,-4461.58441,449.336064
-1183.243758,68,475.279884,-1183.243758,1048.501566
-4834.752095,500,483.231624,-4834.752095,1569.452753
-2009.024591,145,485.393514,-2009.024591,1126.314507
-2122.252113,190,488.243736,-2122.252113,485.068743
-2368.131653,163,490.767361,-2368.131653,1179.877368
-3635.163814,253,494.593108,-3635.163814,760.279339
-1537.708204,103,496.139815,-1537.708204,1276.953371
-2757.649841,245,499.869777,-2757.649841,586.417156
-3539.978539,266,503.796008,-3539.978539,408.842722
