#{"t_start": 1648505161.43047, "env_id": "multicomp/KickAndDefend-v0"}
r,l,t,r0,r1
-3108.332351,236,6.115465,-3108.332351,1429.179669
-1721.294382,98,7.574847,-1721.294382,818.160726
-3578.529145,303,12.093055,-3578.529145,-325.201539
-2309.737284,227,15.443609,-2309.737284,561.848045
-1773.358649,90,16.76831,-1773.358649,1095.959685
-2063.667379,155,19.097808,-2063.667379,580.043249
-4047.503013,323,23.955826,-4047.503013,724.473941
-2623.84638,206,27.044524,-2623.84638,1308.429259
-2186.77939,153,29.3697,-2186.77939,730.441686
-1973.943817,133,31.327239,-1973.943817,989.764858
-1657.719076,124,33.172816,-1657.719076,830.216956
-3707.507086,323,38.850134,-3707.507086,1991.770174
-1961.257197,135,40.902817,-1961.257197,968.036274
-4608.598879,487,48.223877,-4608.598879,2214.235478
-4366.906347,332,53.235689,-4366.906347,707.838782
-1387.594642,87,54.552877,-1387.594642,877.872191
-3920.508523,500,62.167008,-3920.508523,2231.268733
-3396.630735,279,66.764793,-3396.630735,822.823681
-3429.185118,319,71.706694,-3429.185118,715.017198
-2445.970276,174,74.338486,-2445.970276,442.921509
-2300.065225,197,77.328254,-2300.065225,1367.984817
-2086.633511,185,80.114141,-2086.633511,1520.025952
-4610.110898,500,87.702204,-4610.110898,2861.772869
-2012.69273,168,90.251828,-2012.69273,1374.936261
-1790.522037,102,91.788257,-1790.522037,973.863221
-1796.338135,120,93.585574,-1796.338135,787.688652
-5222.431962,417,100.330578,-5222.431962,-56.42399
-2085.864164,125,102.226177,-2085.864164,644.468016
-3391.724769,290,106.659611,-3391.724769,781.728776
-1357.568472,59,107.556399,-1357.568472,1011.328274
-2131.387537,191,110.492516,-2131.387537,1051.022052
-977.336285,172,113.071177,-977.336285,-500.275555
-2090.348471,174,115.618615,-2090.348471,1353.167436
-1699.159581,104,117.179873,-1699.159581,1095.745728
-3677.975466,376,122.869233,-3677.975466,1240.23302
-2522.041364,181,125.613412,-2522.041364,705.788347
-2069.532017,167,128.545787,-2069.532017,938.732836
-2446.849609,192,131.639495,-2446.849609,758.825424
-3121.276851,323,137.582166,-3121.276851,1702.945597
-2025.021817,137,139.743407,-2025.021817,448.312666
-1614.955204,107,141.470115,-1614.955204,1135.034925
-4930.215848,447,148.313102,-4930.215848,-787.046961
-4203.91335,300,152.842346,-4203.91335,516.891687
-3219.90155,202,155.849392,-3219.90155,204.296834
-1791.378168,152,158.086125,-1791.378168,866.709362
-4551.190874,500,166.329525,-4551.190874,1634.990464
-3668.768729,254,170.16152,-3668.768729,370.444687
-1656.099673,85,171.453053,-1656.099673,1206.636561
-1013.18424,51,172.220235,-1013.18424,1725.804977
-5230.446475,480,179.530953,-5230.446475,1838.415617
-3810.357001,410,185.690889,-3810.357001,782.768109
-3803.093197,500,193.525367,-3803.093197,2682.538824
-3109.839648,278,197.749247,-3109.839648,327.825216
-4447.213274,408,203.939542,-4447.213274,1436.213325
-3439.967349,324,208.969049,-3439.967349,164.86991
-1721.529922,116,210.691569,-1721.529922,1207.801079
-266.602895,59,211.56953,-266.602895,-815.312443
-1681.547247,130,213.506322,-1681.547247,1404.369942
-4297.5854,500,221.266739,-4297.5854,-525.987045
-2297.510317,192,224.604294,-2297.510317,1660.574477
-1381.062172,79,225.78817,-1381.062172,934.321958
-2811.574994,263,229.849795,-2811.574994,1187.014505
-1969.26088,136,231.876456,-1969.26088,1308.366154
-2368.076455,147,234.121076,-2368.076455,1218.151192
-1618.902904,113,235.855854,-1618.902904,1344.573663
-2226.205482,157,238.250531,-2226.205482,546.045668
-2297.28879,207,241.38377,-2297.28879,1112.76303
-1507.582772,109,242.981935,-1507.582772,1147.548308
-4039.517057,468,250.042501,-4039.517057,987.713732
-2711.78211,235,253.789998,-2711.78211,658.809158
-2865.784625,184,257.324263,-2865.784625,906.362198
-1396.230802,66,258.544627,-1396.230802,1092.332484
-1475.002434,70,260.277199,-1475.002434,1109.377558
-2516.199437,224,264.408355,-2516.199437,1557.917439
-2430.906022,170,267.476342,-2430.906022,853.526592
-1651.203624,75,268.774953,-1651.203624,1031.222828
-1630.507603,112,270.687828,-1630.507603,1272.331525
-2151.080489,169,273.596252,-2151.080489,410.787078
-2483.990973,191,276.862502,-2483.990973,753.607714
-2151.926489,187,279.954737,-2151.926489,1469.438232
-1651.528904,93,281.453701,-1651.528904,1173.232363
-5578.749896,428,288.261448,-5578.749896,309.408986
-4795.071866,421,295.478173,-4795.071866,384.932943
-1784.4215,108,297.185853,-1784.4215,1107.577519
-4936.916099,500,304.955828,-4936.916099,567.395296
-1709.785581,114,306.637976,-1709.785581,1239.562038
-2110.874834,156,309.002378,-2110.874834,1420.809812
-1582.306413,79,310.233934,-1582.306413,1065.238399
-1686.181306,95,311.621279,-1686.181306,1092.029966
-1775.08653,132,313.503232,-1775.08653,1285.204156
-1621.587319,79,314.686345,-1621.587319,962.527082
-2381.625402,140,316.771243,-2381.625402,814.052098
-1521.132154,88,318.124791,-1521.132154,841.232966
-3486.222565,260,322.041245,-3486.222565,535.659864
-3585.669628,417,328.699148,-3585.669628,1621.94143
-1768.739975,99,330.131295,-1768.739975,1282.887157
-3225.823972,244,333.733141,-3225.823972,228.135936
-2029.120928,211,336.862502,-2029.120928,1092.704916
-2990.322625,240,340.432638,-2990.322625,1722.058526
-2900.30513,187,343.282638,-2900.30513,664.089314
-4194.984087,374,348.921134,-4194.984087,-102.305034
-2055.73897,175,351.563861,-2055.73897,1285.721526
-2020.572444,138,353.653152,-2020.572444,734.501231
-1502.132974,72,355.095592,-1502.132974,890.625658
-1791.614193,137,357.240639,-1791.614193,1023.566493
-1875.525594,160,359.670885,-1875.525594,1229.474577
-1757.988857,97,361.108565,-1757.988857,1099.561409
-1835.488722,164,363.558761,-1835.488722,1133.983173
-2734.617187,186,366.330127,-2734.617187,858.024614
-949.206729,12,366.507333,-949.206729,1557.66264
-1631.360358,99,368.001521,-1631.360358,934.896279
-1842.586479,120,369.817414,-1842.586479,957.174539
-4031.578368,403,375.798114,-4031.578368,-185.964411
-3643.560459,376,381.363526,-3643.560459,1556.914762
-5650.528216,500,389.348151,-5650.528216,2240.425141
-1226.046292,93,390.714128,-1226.046292,1141.236525
-3144.513407,228,394.124673,-3144.513407,632.437692
