#{"t_start": 1648333473.686601, "env_id": "multicomp/SumoAnts-v0"}
r,l,t,r0,r1
-133.393543,330,7.702007,2240.178733,-133.393543
-746.896856,109,9.318202,393.198421,-746.896856
-642.114158,133,11.37424,552.838726,-642.114158
-506.343905,156,13.706316,1683.399881,-506.343905
-180.941946,266,17.807781,2152.074831,-180.941946
287.093779,500,25.506023,783.431537,287.093779
-697.306577,89,26.891072,1366.475489,-697.306577
-89.409121,260,30.948112,2169.891816,-89.409121
109.681417,418,38.141927,2400.056612,109.681417
-475.381988,208,41.299577,1733.378686,-475.381988
-640.412395,110,42.958858,1423.672909,-640.412395
-794.281442,99,44.462676,1359.313662,-794.281442
487.413051,500,52.120698,558.06936,487.413051
-713.36595,106,53.749514,1401.229132,-713.36595
-567.821398,168,56.292013,1609.513811,-567.821398
-554.86212,219,59.633981,1760.869859,-554.86212
-638.929086,112,61.307536,1479.885857,-638.929086
-656.081396,104,62.931029,1362.720861,-656.081396
-489.523472,164,65.431709,1686.545984,-489.523472
-879.882525,65,66.813107,236.237787,-879.882525
-564.331209,237,70.418669,746.44121,-564.331209
-6.118652,406,76.681018,2590.409786,-6.118652
-843.119961,104,78.297986,316.555156,-843.119961
-509.188208,161,80.789161,1661.423562,-509.188208
1818.168061,224,84.224878,-212.623388,1818.168061
-210.412247,255,88.1363,2060.807593,-210.412247
255.046879,442,94.957325,2609.581279,255.046879
-321.780615,175,97.597815,1592.11256,-321.780615
1167.530557,47,98.665009,-815.629674,1167.530557
-129.689526,249,102.454716,693.198266,-129.689526
-78.282767,285,106.861564,2113.056744,-78.282767
-608.893104,112,108.56273,1463.510932,-608.893104
-17.1826,361,114.060447,2386.173609,-17.1826
38.24004,343,119.362521,2386.150673,38.24004
-306.02999,230,122.924281,1815.037896,-306.02999
-338.724028,221,126.399798,1905.400124,-338.724028
-674.703492,135,128.436932,1401.723729,-674.703492
-769.726852,127,130.738029,1427.651299,-769.726852
-540.415935,154,133.111285,1584.149149,-540.415935
-168.920977,398,139.195107,2404.787002,-168.920977
-262.337933,265,143.284475,1943.667887,-262.337933
-659.628703,217,146.621702,424.91937,-659.628703
1151.833581,47,147.328185,-797.868137,1151.833581
-297.640388,338,152.473201,2240.341334,-297.640388
-507.139927,142,154.681403,1545.865798,-507.139927
-698.211736,196,157.653894,1664.374472,-698.211736
-408.86539,184,160.447927,674.889296,-408.86539
-485.573541,271,164.908792,1910.955235,-485.573541
-881.884838,89,166.303177,325.82311,-881.884838
-638.466251,146,168.505567,583.948967,-638.466251
200.562383,365,174.236648,2434.123555,200.562383
-891.106937,63,175.194542,190.161674,-891.106937
-623.314671,252,179.123225,728.867712,-623.314671
-681.065423,137,181.234961,1481.009575,-681.065423
-844.847872,115,182.991574,475.890936,-844.847872
-771.845627,67,184.028302,1274.489516,-771.845627
-605.844166,165,186.538404,1601.198729,-605.844166
-778.506478,91,187.918478,338.655155,-778.506478
2014.20611,336,193.122729,254.634778,2014.20611
-762.975385,131,195.524695,466.217004,-762.975385
-665.860996,178,198.289745,326.670727,-665.860996
-691.184941,112,200.034694,1439.660885,-691.184941
-851.512446,44,200.745561,1155.919124,-851.512446
-779.374926,96,202.249746,1339.175379,-779.374926
-253.514399,233,205.898351,1963.222165,-253.514399
-695.738103,176,208.618098,555.349138,-695.738103
-842.685111,50,209.384504,1201.1382,-842.685111
-650.320441,101,210.950492,1413.219579,-650.320441
-567.897207,153,213.311886,1638.861344,-567.897207
46.428083,500,221.0357,878.047223,46.428083
-723.251031,239,224.773656,631.793035,-723.251031
-551.684894,202,228.161154,1665.597446,-551.684894
-676.418883,115,229.936682,1466.948696,-676.418883
-79.574897,335,235.072771,2147.753749,-79.574897
388.739422,500,242.817323,774.272766,388.739422
-615.252832,128,244.78277,501.098929,-615.252832
-134.426504,315,249.767075,2308.102065,-134.426504
-415.661539,196,252.856416,1760.5297,-415.661539
-624.394231,129,254.88168,1506.457824,-624.394231
1599.893214,200,258.300113,-313.646919,1599.893214
-738.475385,79,259.513874,1343.678027,-738.475385
-563.389996,173,262.189148,1748.497659,-563.389996
-533.933567,273,266.416449,2022.103857,-533.933567
-799.439987,161,268.855451,546.311601,-799.439987
-590.339994,208,272.090088,1867.308999,-590.339994
909.887326,500,279.810542,777.076471,909.887326
-435.857414,245,283.661233,870.997207,-435.857414
-719.208479,114,285.388005,1484.813129,-719.208479
394.188709,475,292.995466,2974.846831,394.188709
-524.15125,156,295.379401,1571.005013,-524.15125
-233.280861,258,299.394263,1065.051209,-233.280861
-698.137704,91,300.807554,1404.500206,-698.137704
143.614339,461,308.125384,2913.961973,143.614339
-129.710845,345,313.404769,2222.046281,-129.710845
-589.944587,170,316.014869,1657.518185,-589.944587
-768.515426,99,317.548925,399.449249,-768.515426
-323.309883,238,321.178588,1828.030438,-323.309883
-247.833831,270,325.746976,2058.349066,-247.833831
1226.533759,58,326.646219,-782.57094,1226.533759
49.826062,500,334.314498,975.229441,49.826062
-827.639834,111,336.022558,442.971855,-827.639834
-452.566985,171,338.662498,1642.508425,-452.566985
-338.845135,304,343.261617,2133.678655,-338.845135
-499.550855,216,346.549042,1831.586893,-499.550855
-168.527924,266,350.616878,2079.879512,-168.527924
1731.832171,243,354.671706,-88.915795,1731.832171
-486.136651,209,357.854871,861.825505,-486.136651
164.978641,451,364.813319,2428.027163,164.978641
-918.087826,50,365.591548,124.577266,-918.087826
621.35122,500,373.179095,683.912407,621.35122
-288.427686,247,376.981024,1981.166716,-288.427686
-616.157509,149,379.271407,1612.347654,-616.157509
1572.681048,183,382.129377,-346.308903,1572.681048
-261.937959,283,386.761619,1176.437611,-261.937959
-475.453238,186,389.658807,1564.6977,-475.453238
-681.243816,141,391.845332,505.287495,-681.243816
1531.202994,177,394.563779,-286.67704,1531.202994
-557.780603,293,399.110558,1902.469061,-557.780603
170.528488,500,406.970154,1022.273282,170.528488
174.005773,500,414.925425,-403.499847,174.005773
-131.427457,261,419.308927,2030.654717,-131.427457
-616.842966,121,421.188018,1285.845171,-616.842966
-442.555524,184,424.016133,1714.065442,-442.555524
455.545014,500,431.760024,819.944905,455.545014
-450.24715,266,435.87269,1843.871081,-450.24715
-578.065437,166,438.431198,1649.991259,-578.065437
-609.987927,123,440.330549,1535.121382,-609.987927
203.751073,395,446.540103,2578.823748,203.751073
465.955967,500,454.784703,862.873339,465.955967
-816.837844,47,455.533046,1201.583336,-816.837844
-575.396194,146,457.854681,1512.722678,-575.396194
-697.834058,137,459.921406,1444.820622,-697.834058
-333.597518,366,465.690468,1880.249961,-333.597518
-758.544739,63,466.766171,1292.727452,-758.544739
-897.0039,68,467.824214,255.717277,-897.0039
-89.108996,294,472.393282,2187.243586,-89.108996
-593.997404,120,474.281487,1493.993249,-593.997404
-798.306446,65,475.276107,-762.187966,-798.306446
-557.461496,158,477.685934,1591.001523,-557.461496
636.870591,438,484.820415,2931.751705,636.870591
-603.191284,138,486.994995,1550.816755,-603.191284
-215.680301,220,490.429364,1921.424968,-215.680301
-509.986556,182,493.240207,1729.993833,-509.986556
-686.244715,126,495.175921,400.592339,-686.244715
-826.408196,138,497.371615,290.440666,-826.408196
-652.203534,126,499.33455,1520.106649,-652.203534
131.988837,387,505.33716,2420.451089,131.988837
87.608926,343,510.660521,2389.58301,87.608926
-64.992355,294,515.605279,2235.54834,-64.992355
204.213048,379,521.473595,2021.127767,204.213048
-555.36851,159,523.927968,1593.351895,-555.36851
-570.272186,184,526.742653,1708.716123,-570.272186
-652.624784,151,529.028913,1618.472148,-652.624784
-659.368236,101,530.600178,1394.615302,-659.368236
220.534637,436,537.670355,2728.995471,220.534637
-674.243072,101,539.317597,1384.389165,-674.243072
-168.14297,234,543.5024,1948.542974,-168.14297
-704.065971,121,545.885497,1474.744559,-704.065971
-489.48793,190,549.871479,1741.508246,-489.48793
-828.898811,58,550.78338,1206.551541,-828.898811
-173.626099,339,556.179693,2226.542018,-173.626099
-93.189581,346,561.245643,1437.418269,-93.189581
-333.751827,230,563.727825,1948.498016,-333.751827
-572.440727,149,565.13585,1613.644778,-572.440727
-832.776175,70,565.740649,223.031744,-832.776175
-526.495987,166,567.173715,1648.423457,-526.495987
-113.247674,351,570.38884,2087.052209,-113.247674
83.557862,428,574.444191,2460.55358,83.557862
-314.023781,216,576.371881,1832.350736,-314.023781
-696.839206,123,577.462852,1461.666616,-696.839206
-293.170347,239,579.525995,1962.963189,-293.170347
-566.290943,142,580.704891,1616.251556,-566.290943
-570.896123,165,582.158829,554.126968,-570.896123
-571.258986,191,583.834783,1777.202066,-571.258986
122.793384,500,588.15736,808.727883,122.793384
-775.381643,107,589.029428,353.008079,-775.381643
-808.313734,83,589.727156,274.646651,-808.313734
-713.325701,113,590.699096,442.089538,-713.325701
-776.547232,58,591.439632,1239.86398,-776.547232
-459.754043,234,593.37929,1812.926458,-459.754043
-347.88322,184,594.997941,1616.394708,-347.88322
-360.483426,206,596.834288,1836.454951,-360.483426
265.66819,353,600.347884,2310.885212,265.66819
-372.842014,223,603.195641,1933.800401,-372.842014
-741.441579,97,604.322535,329.078017,-741.441579
522.056078,477,608.48681,2495.878667,522.056078
-628.150738,135,609.611497,545.536507,-628.150738
-75.567517,294,612.541093,2165.144155,-75.567517
-621.030631,113,613.530081,1418.558198,-621.030631
-31.269752,280,616.131129,2125.209803,-31.269752
-675.859497,129,617.315148,446.453747,-675.859497
417.477104,500,623.364282,953.788925,417.477104
-571.714455,176,625.833553,1656.171535,-571.714455
-770.610329,112,626.844007,421.364541,-770.610329
-334.821379,206,628.974161,1742.113861,-334.821379
-839.870668,41,629.429598,1143.776506,-839.870668
-811.535099,131,630.774117,362.884768,-811.535099
-597.302967,149,632.174476,1591.562766,-597.302967
180.654455,487,637.32537,2488.852459,180.654455
82.598821,331,640.881362,2394.399379,82.598821
-904.685274,61,641.51101,206.69258,-904.685274
-775.619488,144,643.06846,371.40603,-775.619488
-650.33507,114,644.233866,376.237931,-650.33507
1298.583184,79,645.062068,-696.484819,1298.583184
-763.260954,55,645.615583,1215.092297,-763.260954
